"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam-Velaryon","Addam Velaryon","","Ser","Addam Velaryon;Addam of Hull","House Velaryon;House Targaryen;Blacks","","Valyrian","mentioned"
"Addison-Hill","Addison Hill","","Ser;Lord Commander of the Kingsguard","Addison Hill;The Bastard of Cornfield","House Swyft;Kingsguard","","","mentioned"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-II-Targaryen","Aegon II Targaryen","Aegon Targaryen the Second of His Name","","Aegon II Targaryen;Aegon the Elder;Aegon the Usurper;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-III-Targaryen","Aegon III Targaryen","Aegon Targaryen the Third of His Name","","Aegon III Targaryen;Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","Valyrian","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-Targaryen-(son-of-Rhaegar)","Aegon Targaryen (son of Rhaegar)","","","Aegon Targaryen (son of Rhaegar);Young Griff","House Targaryen","","Valyrian","mentioned"
"Aegon-Targaryen-(son-of-Aenys-I)","Aegon Targaryen (son of Aenys I)","","Prince","","House Targaryen","","Valyrian","mentioned"
"Aegon-Targaryen-(son-of-Baelon)","Aegon Targaryen (son of Baelon)","","Prince","","House Targaryen","","Valyrian","mentioned"
"Aegon-Targaryen-(son-of-Jaehaerys-I)","Aegon Targaryen (son of Jaehaerys I)","","Prince","","House Targaryen","","Valyrian","mentioned"
"Aegor-Rivers","Aegor Rivers","","Ser","Aegor Rivers;Bittersteel","House Bracken;House Blackfyre;Second Sons;Golden Company","","","mentioned"
"Aelinor-Penrose","Aelinor Penrose","","Lady;Queen","","House Penrose;House Targaryen","","","mentioned"
"Aemma-Arryn","Aemma Arryn","","Queen","","House Arryn;House Targaryen","","","mentioned"
"Aemon-Targaryen-(son-of-Jaehaerys-I)","Aemon Targaryen (son of Jaehaerys I)","","Prince;Prince of Dragonstone","","House Targaryen","","Valyrian","mentioned"
"Aemon-Targaryen-(Dragonknight)","Aemon Targaryen (Dragonknight)","","Prince;Ser;Lord Commander of the Kingsguard","Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears","House Targaryen;Kingsguard","","Valyrian","mentioned"
"Aemond-Targaryen","Aemond Targaryen","","Prince;Protector of the Realm;Prince Regent","Aemond Targaryen;Aemond One-Eye Aemond the Kinslayer","House Targaryen;Greens","","Valyrian","mentioned"
"Aenys-I-Targaryen","Aenys I Targaryen","Aenys Targaryen the First of His Name","","Aenys I Targaryen;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aerion-Targaryen","Aerion Targaryen","","Prince","Aerion Targaryen;Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon","House Targaryen;Second Sons","","Valyrian","mentioned"
"Aerys-I-Targaryen","Aerys I Targaryen","Aerys Targaryen the First of His Name","","Aerys I Targaryen;King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aerys-II-Targaryen","Aerys II Targaryen","Aerys Targaryen the Second of His Name","","Aerys II Targaryen;The Mad King;King Scab;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Alicent-Hightower","Alicent Hightower","","Lady;Queen;Dowager Queen","","House Hightower;House Targaryen;Greens","","","mentioned"
