Name,type,value
Abelar Hightower,Title,Ser
Abelar Hightower,Allegiance,House Hightower
Abelar Hightower,Book(s),The Hedge Knight (appears)
Addam,Title,Ser;
Addam,Book(s),The Mystery Knight (mentioned)
Addam Frey,Title,Ser
Addam Frey,Allegiance,House Frey
Addam Frey,Book(s),The Mystery Knight (appears)
Addam Marbrand,Title,Ser;Commander of the City Watch;
Addam Marbrand,Allegiance,House Marbrand;
Addam Marbrand,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Addam Marbrand,Played by,B.J. Hogg
Addam Marbrand,TV series,Season 1
Addam Osgrey,Allegiance,House Osgrey;
Addam Osgrey,Born,In 183 AC or 184 AC;
Addam Osgrey,Died,In 196 AC; at Redgrass Field;
Addam Osgrey,Book(s),The Sworn Sword (mentioned)
Addam Velaryon,Alias,Addam of Hull
Addam Velaryon,Title,Ser
Addam Velaryon,Allegiance,House Velaryon;House Targaryen;Blacks
Addam Velaryon,Culture,Valyrian
Addam Velaryon,Born,In 114 AC; at Hull;
Addam Velaryon,Died,In 130 AC; at Tumbleton;
Addam Velaryon,Book(s),The World of Ice and Fire (mentioned) The Princess and the Queen (mentioned)
Addison Hill,Alias,The Bastard of Cornfield
Addison Hill,Title,Ser;Lord Commander of the Kingsguard
Addison Hill,Allegiance,House Swyft;Kingsguard
Addison Hill,Born,At Cornfield;
Addison Hill,Book(s),The World of Ice and Fire (mentioned) A Feast for Crows (mentioned)
Aegon Blackfyre,Allegiance,House Blackfyre;
Aegon Blackfyre,Culture,Valyrian
Aegon Blackfyre,Born,In 184 AC;
Aegon Blackfyre,Died,In 196 AC; at Redgrass Field;
Aegon Blackfyre,Book(s),The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Storm of Swords (mentioned)
Aegon Frey (son of Stevron),Alias,Jinglebell;
Aegon Frey (son of Stevron),Allegiance,House Frey;
Aegon Frey (son of Stevron),Born,In ~249 AC (roughly);
Aegon Frey (son of Stevron),Died,In 299 AC; at the Twins;
Aegon Frey (son of Stevron),Book(s),A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned)
Aegon Frey (son of Aenys),Alias,Aegon Bloodborn;
Aegon Frey (son of Aenys),Allegiance,House Frey;
Aegon Frey (son of Aenys),Born,In or between 253 AC and 272 AC;
Aegon Frey (son of Aenys),Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aegon I Targaryen,Reign,1 AC - 37 AC
Aegon I Targaryen,Coronation,1 AC
Aegon I Targaryen,Full Name,Aegon Targaryen the First of His Name
Aegon I Targaryen,Alias,Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord
Aegon I Targaryen,Other Titles,King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone
Aegon I Targaryen,Born in,27 BC; at Dragonstone
Aegon I Targaryen,Died in,37 AC; at Dragonstone
Aegon I Targaryen,Royal House,House Targaryen
Aegon I Targaryen,Predecessor,none
Aegon I Targaryen,Heir,Aenys Targaryen
Aegon I Targaryen,Successor,Aenys I Targaryen
