"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam-Marbrand","Addam Marbrand","","Ser;Commander of the City Watch;","","House Marbrand;","","","appears"
"Aegon-Blackfyre","Aegon Blackfyre","","","","House Blackfyre;","","Valyrian","mentioned"
"Aegon-Frey-(son-of-Stevron)","Aegon Frey (son of Stevron)","","","Aegon Frey (son of Stevron);Jinglebell;","House Frey;","","","appears"
"Aegon-Frey-(son-of-Aenys)","Aegon Frey (son of Aenys)","","","Aegon Frey (son of Aenys);Aegon Bloodborn;","House Frey;","","","mentioned"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-II-Targaryen","Aegon II Targaryen","Aegon Targaryen the Second of His Name","","Aegon II Targaryen;Aegon the Elder;Aegon the Usurper;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-III-Targaryen","Aegon III Targaryen","Aegon Targaryen the Third of His Name","","Aegon III Targaryen;Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","Valyrian","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-Targaryen-(son-of-Rhaegar)","Aegon Targaryen (son of Rhaegar)","","","Aegon Targaryen (son of Rhaegar);Young Griff","House Targaryen","","Valyrian","mentioned"
"Aemon-Blackfyre","Aemon Blackfyre","","","","House Blackfyre","","Valyrian","mentioned"
"Aemon-Costayne","Aemon Costayne","","","","House Costayne","","","appears"
"Aemon-Estermont","Aemon Estermont","","Ser","","House Estermont","","Stormlands","appears"
"Aemon-Rivers","Aemon Rivers","","Ser","","House Frey","","","mentioned"
"Aemon-Targaryen-(Dragonknight)","Aemon Targaryen (Dragonknight)","","Prince;Ser;Lord Commander of the Kingsguard","Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears","House Targaryen;Kingsguard","","Valyrian","mentioned"
"Aemon-Targaryen-(Maester-Aemon)","Aemon Targaryen (Maester Aemon)","","Maester","Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester","Night's Watch","","Valyrian","appears"
"Aenys-Frey","Aenys Frey","","Ser","","House Frey","","","appears"
"Aerion-Targaryen","Aerion Targaryen","","Prince","Aerion Targaryen;Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon","House Targaryen;Second Sons","","Valyrian","mentioned"
"Aeron-Greyjoy","Aeron Greyjoy","","Priest of the Drowned God;Captain of the Golden Storm (formerly)","Aeron Greyjoy;The Damphair;Aeron Damphair","House Greyjoy;Drowned men","","Ironmen","mentioned"
"Aerys-II-Targaryen","Aerys II Targaryen","Aerys Targaryen the Second of His Name","","Aerys II Targaryen;The Mad King;King Scab;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aethan","Aethan","","","","Night's Watch","","","appears"
"Aggo","Aggo","","Ko Bloodrider of Daenerys Targaryen","","House Targaryen","","Dothraki","appears"
"Aladale-Wynch","Aladale Wynch","","Ser","","House Wynch;Night's Watch","","Ironborn","mentioned"
"Alan","Alan","","","","Night's Watch","","","appears"
"Alaric-of-Eysen","Alaric of Eysen","","","","","","","mentioned"
"Alayaya","Alayaya","","","Alayaya;'Yaya","Chataya's brothel","","","mentioned"
"Albar-Royce","Albar Royce","","Ser","","House Royce of the Gates of the Moon","","","mentioned"
"Albett","Albett","","","Albett;Pimple","Night's Watch","","","mentioned"
"Alekyne-Florent","Alekyne Florent","","Lord of Brightwater (attainted)","","House Florent","","","mentioned"
"Alerie-Hightower","Alerie Hightower","","Lady of Highgarden","","House Hightower;House Tyrell","","","appears"
"Alesander-Frey","Alesander Frey","","","","House Frey","","","mentioned"
"Alesander-Staedmon","Alesander Staedmon","","Lord of Broad Arch","Alesander Staedmon;the Pennylover","House Staedmon","","","mentioned"
"Alester-Florent","Alester Florent","","Lord of Brightwater;Hand of the King","","House Florent","","","appears"
"Alester-Norcross","Alester Norcross","","","","House Norcross","","","mentioned"
"Alfyn","Alfyn","","","Alfyn;Alfyn Crowkiller","","","Free Folk","mentioned"
"Alla-Tyrell","Alla Tyrell","","","","House Tyrell","","","appears"
"Allar-Deem","Allar Deem","","","","City Watch of King's Landing","","","mentioned"
"Allard-Seaworth","Allard Seaworth","","Captain of the Lady Marya","","House Seaworth","","","mentioned"
"Alliser-Thorne","Alliser Thorne","","Ser","","House Thorne;Night's Watch","","","appears"
"Allyria-Dayne","Allyria Dayne","","","","House Dayne","","","mentioned"
"Alyce","Alyce","","","","","","","mentioned"
"Alyce-Graceford","Alyce Graceford","","Lady","","House Graceford","","","mentioned"
"Alyn","Alyn","","","","House Stark","","","mentioned"
"Alyn-Ambrose","Alyn Ambrose","","","","House Ambrose","","","mentioned"
"Alyn-Connington","Alyn Connington","","Ser;Lord Commander of the Kingsguard","Alyn Connington;The Pale Griffin","House Connington;Kingsguard","","","mentioned"
"Alyn-Estermont","Alyn Estermont","","Ser","","House Estermont","","Stormlands","appears"
"Alyn-Frey","Alyn Frey","","","","House Frey","","","mentioned"
"Alyn-Haigh","Alyn Haigh","","","","House Haigh","","","mentioned"
"Alyn-Stackspear","Alyn Stackspear","","Ser","","House Stackspear","","","mentioned"
"Alys-Karstark","Alys Karstark","","","","House Karstark;House Thenn","","Northmen","mentioned"
"Alysanne-Bulwer","Alysanne Bulwer","","Lady of Blackcrown","","House Bulwer","","","mentioned"
"Alysanne-Targaryen","Alysanne Targaryen","Alysanne of House Targaryen","","Alysanne Targaryen;Good Queen Alysanne;Queen","House Targaryen","House Targaryen","","mentioned"
"Alys-Frey","Alys Frey","","","","House Frey","","","mentioned"
"Alyssa-Blackwood","Alyssa Blackwood","","Lady","","House Blackwood;House Frey","","","mentioned"
"Alyx-Frey","Alyx Frey","","","","House Frey","","","appears"
"Amabel","Amabel","","","","House Whent","","","mentioned"
"Amarei-Crakehall","Amarei Crakehall","","","","House Crakehall;House Frey","","","mentioned"
"Ambrose-Butterwell","Ambrose Butterwell","","Lord of Whitewalls;Hand of the King","Ambrose Butterwell;Old Milkblood;The lord of cows;Lord Butterbutt","House Butterwell;House Targaryen;House Blackfyre","","","mentioned"
"Amerei-Frey","Amerei Frey","","Lady of Darry","Amerei Frey;Gatehouse Ami","House Frey;House Lannister of Darry","","","mentioned"
"Amory-Lorch","Amory Lorch","","Ser;Castellan of Harrenhal","Amory Lorch;The Manticore","House Lorch;House Lannister","","","mentioned"
"Andar-Royce","Andar Royce","","Ser","","House Royce","","Valemen","mentioned"
"Anders-Yronwood","Anders Yronwood","","Lord of Yronwood;The Bloodroyal;Warden of the Stone Way","","House Yronwood","","Dornishmen","mentioned"
"Andrew-Estermont","Andrew Estermont","","Ser","","House Estermont;King's men","","","appears"
"Andrik","Andrik","","Lord of Southshield","Andrik;Andrik the Unsmiling","House Drumm","","Ironborn","mentioned"
"Andros-Brax","Andros Brax","","Lord of Hornvale","","House Brax","","","mentioned"
"Androw-Frey","Androw Frey","","","","House Frey","","","mentioned"
"Anguy","Anguy","","","Anguy;Anguy the Archer;Archer","Brotherhood without banners","","","appears"
"Annara-Farring","Annara Farring","","Lady","","House Farring;House Frey","","","mentioned"
"Antario-Jast","Antario Jast","","Lord","","House Jast","","","mentioned"
"Anvil-Ryn","Anvil Ryn","","","Anvil Ryn;Anvyl Ryn","","","","mentioned"
"Anya-Waynwood","Anya Waynwood","","Lady of Ironoaks","","House Waynwood;Lords Declarant","","","mentioned"
"Ardrian-Celtigar","Ardrian Celtigar","","Lord of Claw Isle","Ardrian Celtigar;the Red Crab","House Celtigar","","","appears"
