"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam","Addam","","Ser;","","","","","mentioned"
"Addam-Frey","Addam Frey","","Ser","","House Frey","","","appears"
"Aegon-Blackfyre","Aegon Blackfyre","","","","House Blackfyre;","","Valyrian","mentioned"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","appears"
"Aegor-Rivers","Aegor Rivers","","Ser","Aegor Rivers;Bittersteel","House Bracken;House Blackfyre;Second Sons;Golden Company","","","mentioned"
"Aemon-Blackfyre","Aemon Blackfyre","","","","House Blackfyre","","Valyrian","mentioned"
"Aemon-Targaryen-(Maester-Aemon)","Aemon Targaryen (Maester Aemon)","","Maester","Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester","Night's Watch","","Valyrian","mentioned"
"Aerion-Targaryen","Aerion Targaryen","","Prince","Aerion Targaryen;Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon","House Targaryen;Second Sons","","Valyrian","mentioned"
"Aerys-I-Targaryen","Aerys I Targaryen","Aerys Targaryen the First of His Name","","Aerys I Targaryen;King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Alyn-Cockshaw","Alyn Cockshaw","","Lord","","House Cockshaw;House Blackfyre","","","appears"
"Ambrose-Butterwell","Ambrose Butterwell","","Lord of Whitewalls;Hand of the King","Ambrose Butterwell;Old Milkblood;The lord of cows;Lord Butterbutt","House Butterwell;House Targaryen;House Blackfyre","","","appears"
"Argrave-the-Defiant","Argrave the Defiant","","Ser","","House Butterwell","","","appears"
"Arlan-of-Pennytree","Arlan of Pennytree","","Ser","","","","","mentioned"
"Armond-Caswell","Armond Caswell","","Lord of Bitterbridge","","House Caswell","","","mentioned"
"Baelor-Targaryen-(son-of-Daeron-II)","Baelor Targaryen (son of Daeron II)","","Prince of Dragonstone;Protector of the Realm;Hand of the King","Baelor Targaryen (son of Daeron II);Baelor Breakspear;The Hammer","House Targaryen","","","mentioned"
"Beron-Stark","Beron Stark","","Lord of Winterfell;Warden of the North","","House Stark","","Northmen","mentioned"
"Brynden-Rivers","Brynden Rivers","","Ser;Hand of the King;Lord Commander of the Night's Watch;","Brynden Rivers;Lord Bloodraven;The three-eyed crow","House Targaryen;Night's Watch","","Valyrian","appears"
"Buford-Bulwer","Buford Bulwer","","Ser","Buford Bulwer;The Old Ox","House Bulwer","","","appears"
"Clarence-Charlton","Clarence Charlton","","Ser","","House Charlton","","","appears"
"Cosgrove","Cosgrove","","Steward","","House Butterwell","","","appears"
"Daemon-I-Blackfyre","Daemon I Blackfyre","","Ser;King of the Andals; the Rhoynar and the First Men (claimant)Lord of the Seven Kingdoms (claimant)Protector of the Ream (claimant)","Daemon I Blackfyre;Daemon Waters;The Black Dragon;The King Who Bore the Sword;The Pretender","House Blackfyre","","Valyrian","mentioned"
"Daemon-II-Blackfyre","Daemon II Blackfyre","","King of the Andals; the Rhoynar and the First Men (claimant)Lord of the Seven Kingdoms (claimant)Protector of the Realm (claimant)","Daemon II Blackfyre;Ser John the Fiddler;Daemon the Younger;The Brown Dragon","House Blackfyre","","","appears"
"Daeron-II-Targaryen","Daeron II Targaryen","Daeron Targaryen the Second of His Name","","Daeron II Targaryen;Daeron the Good;Daeron the Falseborn;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm (renounced)","House Targaryen","House Targaryen","","mentioned"
"Daeron-Targaryen-(son-of-Maekar-I)","Daeron Targaryen (son of Maekar I)","","Prince of Dragonstone;Prince of Summerhall","Daeron Targaryen (son of Maekar I);Daeron the Drunken","House Targaryen","","","mentioned"
"Dagon-Greyjoy","Dagon Greyjoy","","Lord Reaper of Pyke;Lord of the Iron Islands","","House Greyjoy","","Ironborn","mentioned"
"Damon-Lannister-(lord)","Damon Lannister (lord)","","Lord of Casterly Rock;Shield of Lannisport;Warden of the West","Damon Lannister (lord);The Grey Lion","House Lannister","","Westerman","mentioned"
"Danelle-Lothston","Danelle Lothston","","Lady of Harrenhal","Danelle Lothston;Mad Danelle","House Lothston","","","appears"
"Dunk","Dunk","","Ser;Lord Commander of the Kingsguard","Dunk;Dunk;Duncan the Tall;Dunk the Lunk;Ser Giant;The Gallows Knight","Kingsguard","","Crownlands","POV"
"Eden-Risley","Eden Risley","","Ser","","House Risley","","","mentioned"
"Ferret","Ferret","","","","","","","The Mystery Knight"
"Franklyn-Frey","Franklyn Frey","","Ser","","House Frey","","Rivermen","appears"
"Galtry-the-Green","Galtry the Green","","Ser","","","","","The Mystery Knight"
"Glendon-Flowers","Glendon Flowers","","Ser","Glendon Flowers;Glendon Ball;The Knight of the Pussywillows;Glendon the Bastard","","","","appears"
