Id,Name,Full Name,Title,Alias,Allegiance,Royal House,Culture,Reference
Addam-Marbrand,Addam Marbrand,,Ser;Commander of the City Watch;,,House Marbrand;,,,appears
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),,,Aegon Frey (son of Stevron);Jinglebell;,House Frey;,,,mentioned
Aegon-Frey-(son-of-Aenys),Aegon Frey (son of Aenys),,,Aegon Frey (son of Aenys);Aegon Bloodborn;,House Frey;,,,mentioned
Aegon-I-Targaryen,Aegon I Targaryen,Aegon Targaryen the First of His Name,,Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone,House Targaryen,House Targaryen,,mentioned
Aegon-IV-Targaryen,Aegon IV Targaryen,Aegon Targaryen the Fourth of His Name,,Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm,House Targaryen,House Targaryen,,mentioned
Aegon-V-Targaryen,Aegon V Targaryen,Aegon Targaryen the Fifth of His Name,,Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm,House Targaryen,House Targaryen,,mentioned
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),,,Aegon Targaryen (son of Rhaegar);Young Griff,House Targaryen,,Valyrian,mentioned
Aemon-Estermont,Aemon Estermont,,Ser,,House Estermont,,Stormlands,appears
Aemon-Rivers,Aemon Rivers,,Ser,,House Frey,,,mentioned
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),,Prince;Ser;Lord Commander of the Kingsguard,Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears,House Targaryen;Kingsguard,,Valyrian,mentioned
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),,Maester,Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester,Night's Watch,,Valyrian,mentioned
Aenys-Frey,Aenys Frey,,Ser,,House Frey,,,appears
Aerion-Targaryen,Aerion Targaryen,,Prince,Aerion Targaryen;Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon,House Targaryen;Second Sons,,Valyrian,mentioned
Aeron-Greyjoy,Aeron Greyjoy,,Priest of the Drowned God;Captain of the Golden Storm (formerly),Aeron Greyjoy;The Damphair;Aeron Damphair,House Greyjoy;Drowned men,,Ironmen,appears
