"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam-Marbrand","Addam Marbrand","","Ser;Commander of the City Watch;","","House Marbrand;","","","appears"
"Addison-Hill","Addison Hill","","Ser;Lord Commander of the Kingsguard","Addison Hill;The Bastard of Cornfield","House Swyft;Kingsguard","","","mentioned"
"Aegon-Frey-(son-of-Stevron)","Aegon Frey (son of Stevron)","","","Aegon Frey (son of Stevron);Jinglebell;","House Frey;","","","mentioned"
"Aegon-Frey-(son-of-Aenys)","Aegon Frey (son of Aenys)","","","Aegon Frey (son of Aenys);Aegon Bloodborn;","House Frey;","","","mentioned"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-II-Targaryen","Aegon II Targaryen","Aegon Targaryen the Second of His Name","","Aegon II Targaryen;Aegon the Elder;Aegon the Usurper;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-Targaryen-(son-of-Rhaegar)","Aegon Targaryen (son of Rhaegar)","","","Aegon Targaryen (son of Rhaegar);Young Griff","House Targaryen","","Valyrian","mentioned"
"Aegor-Rivers","Aegor Rivers","","Ser","Aegor Rivers;Bittersteel","House Bracken;House Blackfyre;Second Sons;Golden Company","","","mentioned"
"Aemon-Estermont","Aemon Estermont","","Ser","","House Estermont","","Stormlands","mentioned"
"Aemon-Rivers","Aemon Rivers","","Ser","","House Frey","","","mentioned"
"Aemon-Targaryen-(Dragonknight)","Aemon Targaryen (Dragonknight)","","Prince;Ser;Lord Commander of the Kingsguard","Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears","House Targaryen;Kingsguard","","Valyrian","mentioned"
"Aemon-Targaryen-(Maester-Aemon)","Aemon Targaryen (Maester Aemon)","","Maester","Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester","Night's Watch","","Valyrian","appears"
"Aenys-Frey","Aenys Frey","","Ser","","House Frey","","","mentioned"
"Aeron-Greyjoy","Aeron Greyjoy","","Priest of the Drowned God;Captain of the Golden Storm (formerly)","Aeron Greyjoy;The Damphair;Aeron Damphair","House Greyjoy;Drowned men","","Ironmen","POV"
"Aerys-II-Targaryen","Aerys II Targaryen","Aerys Targaryen the Second of His Name","","Aerys II Targaryen;The Mad King;King Scab;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aggo","Aggo","","Ko Bloodrider of Daenerys Targaryen","","House Targaryen","","Dothraki","mentioned"
"Aglantine","Aglantine","","Septa","","Faith of the Seven","","","mentioned"
"Agrivane","Agrivane","","Archmaester","","","","","mentioned"
"Alan","Alan","","","","Night's Watch","","","mentioned"
"Alannys-Harlaw","Alannys Harlaw","","Queen of the Iron Islands","Alannys Harlaw;Lanny","House Greyjoy;House Harlaw","","Ironborn","mentioned"
"Alaric-of-Eysen","Alaric of Eysen","","","","","","","mentioned"
"Alayaya","Alayaya","","","Alayaya;'Yaya","Chataya's brothel","","","mentioned"
"Albar-Royce","Albar Royce","","Ser","","House Royce of the Gates of the Moon","","","appears"
"Albett","Albett","","","Albett;Pimple","Night's Watch","","","mentioned"
"Alekyne-Florent","Alekyne Florent","","Lord of Brightwater (attainted)","","House Florent","","","mentioned"
"Alerie-Hightower","Alerie Hightower","","Lady of Highgarden","","House Hightower;House Tyrell","","","appears"
"Alesander-Frey","Alesander Frey","","","","House Frey","","","mentioned"
"Alesander-Staedmon","Alesander Staedmon","","Lord of Broad Arch","Alesander Staedmon;the Pennylover","House Staedmon","","","mentioned"
"Alester-Norcross","Alester Norcross","","","","House Norcross","","","mentioned"
"Alester-Oakheart","Alester Oakheart","","","","House Oakheart","","","mentioned"
"Alla-Tyrell","Alla Tyrell","","","","House Tyrell","","","appears"
"Allaquo","Allaquo","","","","","","Braavosi","mentioned"
"Allard-Seaworth","Allard Seaworth","","Captain of the Lady Marya","","House Seaworth","","","mentioned"
"Alliser-Thorne","Alliser Thorne","","Ser","","House Thorne;Night's Watch","","","mentioned"
"Alvyn-Sharp","Alvyn Sharp","","","","House Sharp","","Ironborn","mentioned"
"Alyce","Alyce","","","","","","","mentioned"
"Alyce-Graceford","Alyce Graceford","","Lady","","House Graceford","","","mentioned"
"Alyn-Ambrose","Alyn Ambrose","","","","House Ambrose","","","appears"
"Alyn-Connington","Alyn Connington","","Ser;Lord Commander of the Kingsguard","Alyn Connington;The Pale Griffin","House Connington;Kingsguard","","","mentioned"
"Alyn-Estermont","Alyn Estermont","","Ser","","House Estermont","","Stormlands","mentioned"
"Alyn-Frey","Alyn Frey","","","","House Frey","","","mentioned"
"Alyn-Haigh","Alyn Haigh","","","","House Haigh","","","mentioned"
"Alyn-Hunt","Alyn Hunt","","Ser","","House Hunt","","","mentioned"
"Alyn-Stackspear","Alyn Stackspear","","Ser","","House Stackspear","","","appears"
"Alyn-Velaryon","Alyn Velaryon","","Lord of the Tides;Master of Driftmark;Admiral;Master of ships","Alyn Velaryon;Alyn of Hull;The Oakenfist;Lord Oakenfist","House Velaryon;House Targaryen;Blacks","","Valyrian","mentioned"
"Alys-Arryn","Alys Arryn","","","","House Arryn;House Waynwood","","","mentioned"
"Alys-Karstark","Alys Karstark","","","","House Karstark;House Thenn","","Northmen","mentioned"
"Alysane-Mormont","Alysane Mormont","","","Alysane Mormont;Aly;The Young She-Bear;The She-Bear","House Mormont","","Northmen","mentioned"
"Alysanne-Bulwer","Alysanne Bulwer","","Lady of Blackcrown","","House Bulwer","","","mentioned"
"Alysanne-Hightower","Alysanne Hightower","","","","House Hightower;House Ambrose","","","mentioned"
"Alysanne-Lefford","Alysanne Lefford","","Lady of Golden Tooth","","House Lefford","","","mentioned"
"Alysanne-of-Tarth","Alysanne of Tarth","","","","House Tarth","","","mentioned"
"Alys-Frey","Alys Frey","","","","House Frey","","","mentioned"
"Alyssa-Blackwood","Alyssa Blackwood","","Lady","","House Blackwood;House Frey","","","mentioned"
"Alyx-Frey","Alyx Frey","","","","House Frey","","","mentioned"
"Amarei-Crakehall","Amarei Crakehall","","","","House Crakehall;House Frey","","","mentioned"
"Amerei-Frey","Amerei Frey","","Lady of Darry","Amerei Frey;Gatehouse Ami","House Frey;House Lannister of Darry","","","mentioned"
"Amory-Lorch","Amory Lorch","","Ser;Castellan of Harrenhal","Amory Lorch;The Manticore","House Lorch;House Lannister","","","mentioned"
"Andar-Royce","Andar Royce","","Ser","","House Royce","","Valemen","mentioned"
"Anders-Yronwood","Anders Yronwood","","Lord of Yronwood;The Bloodroyal;Warden of the Stone Way","","House Yronwood","","Dornishmen","mentioned"
"Andrew-Estermont","Andrew Estermont","","Ser","","House Estermont;King's men","","","mentioned"
"Andrey-Dalt","Andrey Dalt","","Ser","Andrey Dalt;Drey","House Dalt","","Dornish","appears"
"Andrik","Andrik","","Lord of Southshield","Andrik;Andrik the Unsmiling","House Drumm","","Ironborn","appears"
"Androw-Frey","Androw Frey","","","","House Frey","","","mentioned"
"Anguy","Anguy","","","Anguy;Anguy the Archer;Archer","Brotherhood without banners","","","mentioned"
"Annara-Farring","Annara Farring","","Lady","","House Farring;House Frey","","","mentioned"
"Antario-Jast","Antario Jast","","Lord","","House Jast","","","mentioned"
"Anya-Waynwood","Anya Waynwood","","Lady of Ironoaks","","House Waynwood;Lords Declarant","","","appears"
"Areo-Hotah","Areo Hotah","","Captain of the Guard at Sunspear","","House Martell","","Norvos","POV"
"Arianne-Martell","Arianne Martell","","Princess","","House Martell","","Dornishmen","POV"
"Arianne-of-Tarth","Arianne of Tarth","","","","House Tarth","","","mentioned"
"Armen","Armen","","","Armen;Armen the Acolyte","","","","mentioned"
"Arnolf-Karstark","Arnolf Karstark","","Castellan of Karhold","Arnolf Karstark;Lord Arnolf","House Karstark","","Northmen","mentioned"
