"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Abelar-Hightower","Abelar Hightower","","Ser","","House Hightower","","","appears"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-III-Targaryen","Aegon III Targaryen","Aegon Targaryen the Third of His Name","","Aegon III Targaryen;Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","Valyrian","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","appears"
"Aemon-Targaryen-(Dragonknight)","Aemon Targaryen (Dragonknight)","","Prince;Ser;Lord Commander of the Kingsguard","Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears","House Targaryen;Kingsguard","","Valyrian","mentioned"
"Aemon-Targaryen-(Maester-Aemon)","Aemon Targaryen (Maester Aemon)","","Maester","Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester","Night's Watch","","Valyrian","mentioned"
"Aerion-Targaryen","Aerion Targaryen","","Prince","Aerion Targaryen;Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon","House Targaryen;Second Sons","","Valyrian","appears"
"Aerys-I-Targaryen","Aerys I Targaryen","Aerys Targaryen the First of His Name","","Aerys I Targaryen;King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Androw-Ashford","Androw Ashford","","Ser","","House Ashford","","Reach","appears"
"Arlan-of-Pennytree","Arlan of Pennytree","","Ser","","","","","mentioned"
"Lord-Ashford","Lord Ashford","","Lord of Ashford","","House Ashford","","Reach","appears"
"Baelor-Targaryen-(son-of-Daeron-II)","Baelor Targaryen (son of Daeron II)","","Prince of Dragonstone;Protector of the Realm;Hand of the King","Baelor Targaryen (son of Daeron II);Baelor Breakspear;The Hammer","House Targaryen","","","appears"
"Daeron-II-Targaryen","Daeron II Targaryen","Daeron Targaryen the Second of His Name","","Daeron II Targaryen;Daeron the Good;Daeron the Falseborn;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm (renounced)","House Targaryen","House Targaryen","","mentioned"
"Daeron-Targaryen-(son-of-Maekar-I)","Daeron Targaryen (son of Maekar I)","","Prince of Dragonstone;Prince of Summerhall","Daeron Targaryen (son of Maekar I);Daeron the Drunken","House Targaryen","","","appears"
"Damon-Lannister-(lord)","Damon Lannister (lord)","","Lord of Casterly Rock;Shield of Lannisport;Warden of the West","Damon Lannister (lord);The Grey Lion","House Lannister","","Westerman","appears"
"Donnel-of-Duskendale","Donnel of Duskendale","","Ser","","Kingsguard","","","appears"
"Dunk","Dunk","","Ser;Lord Commander of the Kingsguard","Dunk;Dunk;Duncan the Tall;Dunk the Lunk;Ser Giant;The Gallows Knight","Kingsguard","","Crownlands","POV"
"Franklyn-Frey","Franklyn Frey","","Ser","","House Frey","","Rivermen","mentioned"
"Gawen-Swann","Gawen Swann","","Lord of Stonehelm","","House Swann","","","appears"
"Grance-Morrigen","Grance Morrigen","","Ser","","House Morrigen","","","appears"
"Henly-(House-Ashford)","Henly (House Ashford)","","","","House Ashford","","","The Hedge Knight"
"Humfrey-Beesbury","Humfrey Beesbury","","Ser","","House Beesbury","","","appears"
"Humfrey-Hardyng","Humfrey Hardyng","","Ser","","House Hardyng","","","appears"
"Jon-Penrose","Jon Penrose","","Ser","","House Penrose","","","appears"
