"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Addam-Marbrand","Addam Marbrand","","Ser;Commander of the City Watch;","","House Marbrand;","","","appears"
"Aegon-I-Targaryen","Aegon I Targaryen","Aegon Targaryen the First of His Name","","Aegon I Targaryen;Aegon the Conqueror;Aegon the Dragon;Aegon the Dragonlord;King of All Westeros;Shield of His People;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Lord of Dragonstone","House Targaryen","House Targaryen","","mentioned"
"Aegon-II-Targaryen","Aegon II Targaryen","Aegon Targaryen the Second of His Name","","Aegon II Targaryen;Aegon the Elder;Aegon the Usurper;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-III-Targaryen","Aegon III Targaryen","Aegon Targaryen the Third of His Name","","Aegon III Targaryen;Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","Valyrian","mentioned"
"Aegon-IV-Targaryen","Aegon IV Targaryen","Aegon Targaryen the Fourth of His Name","","Aegon IV Targaryen;Aegon the Unworthy;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-V-Targaryen","Aegon V Targaryen","Aegon Targaryen the Fifth of His Name","","Aegon V Targaryen;Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aegon-Targaryen-(son-of-Rhaegar)","Aegon Targaryen (son of Rhaegar)","","","Aegon Targaryen (son of Rhaegar);Young Griff","House Targaryen","","Valyrian","mentioned"
"Aemon-Targaryen-(Dragonknight)","Aemon Targaryen (Dragonknight)","","Prince;Ser;Lord Commander of the Kingsguard","Aemon Targaryen (Dragonknight);The Dragonknight;The Knight of Tears","House Targaryen;Kingsguard","","Valyrian","mentioned"
"Aemon-Targaryen-(Maester-Aemon)","Aemon Targaryen (Maester Aemon)","","Maester","Aemon Targaryen (Maester Aemon);Aemon Targaryen;Maester Aemon;Uncle Maester","Night's Watch","","Valyrian","appears"
"Aenys-Frey","Aenys Frey","","Ser","","House Frey","","","appears"
"Aenys-I-Targaryen","Aenys I Targaryen","Aenys Targaryen the First of His Name","","Aenys I Targaryen;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aeron-Greyjoy","Aeron Greyjoy","","Priest of the Drowned God;Captain of the Golden Storm (formerly)","Aeron Greyjoy;The Damphair;Aeron Damphair","House Greyjoy;Drowned men","","Ironmen","mentioned"
"Aerys-I-Targaryen","Aerys I Targaryen","Aerys Targaryen the First of His Name","","Aerys I Targaryen;King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aerys-II-Targaryen","Aerys II Targaryen","Aerys Targaryen the Second of His Name","","Aerys II Targaryen;The Mad King;King Scab;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Aethelmure","Aethelmure","","Grand Maester","","","","","mentioned"
"Aggo","Aggo","","Ko Bloodrider of Daenerys Targaryen","","House Targaryen","","Dothraki","appears"
"Alannys-Harlaw","Alannys Harlaw","","Queen of the Iron Islands","Alannys Harlaw;Lanny","House Greyjoy;House Harlaw","","Ironborn","mentioned"
"Albar-Royce","Albar Royce","","Ser","","House Royce of the Gates of the Moon","","","appears"
"Albett","Albett","","","Albett;Pimple","Night's Watch","","","appears"
"Alerie-Hightower","Alerie Hightower","","Lady of Highgarden","","House Hightower;House Tyrell","","","mentioned"
"Alia","Alia","","","","","","","mentioned"
"Alliser-Thorne","Alliser Thorne","","Ser","","House Thorne;Night's Watch","","","appears"
"Alyn","Alyn","","","","House Stark","","","appears"
"Alyn-Stackspear","Alyn Stackspear","","Ser","","House Stackspear","","","mentioned"
"Alyssa-Arryn","Alyssa Arryn","","","","House Arryn","","","mentioned"
"Amory-Lorch","Amory Lorch","","Ser;Castellan of Harrenhal","Amory Lorch;The Manticore","House Lorch;House Lannister","","","mentioned"
"Andar-Royce","Andar Royce","","Ser","","House Royce","","Valemen","appears"
"Andros-Brax","Andros Brax","","Lord of Hornvale","","House Brax","","","mentioned"
"Anguy","Anguy","","","Anguy;Anguy the Archer;Archer","Brotherhood without banners","","","appears"
"Anya-Waynwood","Anya Waynwood","","Lady of Ironoaks","","House Waynwood;Lords Declarant","","","appears"
"Areo-Hotah","Areo Hotah","","Captain of the Guard at Sunspear","","House Martell","","Norvos","mentioned"
"Argilac","Argilac","","","Argilac;Argilac the Arrogant;Storm King","House Durrandon;","House Durrandon;","","mentioned"
"Arianne-Martell","Arianne Martell","","Princess","","House Martell","","Dornishmen","mentioned"
"Aron-Santagar","Aron Santagar","","Ser;Master-at-arms of the Red Keep","","House Santagar;House Baratheon of King's Landing","","Dornish","appears"
"Arrec-Durrandon","Arrec Durrandon","Arrec Durrandon","","Arrec Durrandon;Storm King","House Durrandon","House Durrandon","","mentioned"
"Arryk-Cargyll","Arryk Cargyll","","Ser","","House Cargyll;Kingsguard;Greens","","","mentioned"
"Arthur-Dayne","Arthur Dayne","","Ser;Sword of the Morning","","House Dayne;Kingsguard","","Dornishmen","mentioned"
"Arwyn-Oakheart","Arwyn Oakheart","","Lady of Old Oak","","House Oakheart","","","mentioned"
"Arya-Stark","Arya Stark","","Princess","Arya Stark;Arya Horseface;Arya Underfoot;Arry;Lumpyface/Lumpyhead;Stickboy;Weasel;Nymeria/Nan;Squab;Salty;Cat of the Canals;Beth;The Blind Girl;The Ugly Little Girl;Mercedene/Mercy","House Stark;Faceless Men","","Northmen","POV"
"Arys-Oakheart","Arys Oakheart","","Ser","","House Oakheart;Kingsguard","","Reach","appears"
"Asha-Greyjoy","Asha Greyjoy","","Princess;Captain of the Black Wind;Conqueror of Deepwood Motte","Asha Greyjoy;Esgred;The Kraken's Daughter","House Greyjoy;House Ironmaker (forced marriage)","","Ironborn","mentioned"
"Ashara-Dayne","Ashara Dayne","","","","House Dayne","","Dornishmen","mentioned"
"Ayrmidon","Ayrmidon","","","","","","Valyrian","mentioned"
"Baelor-I-Targaryen","Baelor I Targaryen","Baelor Targaryen the First of His Name","","Baelor I Targaryen;Baelor the Beloved;Baelor the Blessed;Baelor the Befuddled;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Balon-Greyjoy","Balon Greyjoy","Balon Greyjoy; the Ninth of His Name Since the Grey King","","Balon Greyjoy;Balon the Brave;Balon the Blessed;Balon the Twice Crowned;Balon the Widowmaker;The Kraken King;Iron King;King of the Isles and the North;King of Salt and Rock;Son of the Sea Wind;Lord Reaper of Pyke;The Greyjoy;Captain of the Great Kraken","House Greyjoy","House Greyjoy","","mentioned"
"Balon-Swann","Balon Swann","","Ser","","House Swann;Kingsguard","","Stormlander","appears"
"Barra","Barra","","","","House Baratheon","","","appears"
"Barristan-Selmy","Barristan Selmy","","Ser;Lord Commander of the Kingsguard (former)Hand of the Queen","Barristan Selmy;Barristan the Bold;Arstan Whitebeard;Ser Grandfather;Barristan the Old;Old Ser","House Selmy;House Targaryen;Kingsguard;Queensguard","","Westeros","appears"
"Bass","Bass","","","","Night's Watch","","","appears"
"Becca","Becca","","","","House Arryn","","","mentioned"
"Benjen-Stark","Benjen Stark","","First Ranger","Benjen Stark;The Wolf Pup;Ben Stark","House Stark;Night's Watch","","Northmen","appears"
"Beric-Dondarrion","Beric Dondarrion","","Lord of Blackhaven","Beric Dondarrion;The Lightning Lord;The Lord of Corpses;Lord Derik","House Dondarrion Brotherhood without banners","","","appears"
"Bessa-(Winterfell)","Bessa (Winterfell)","","","","","","Northmen","mentioned"
"Beth-Cassel","Beth Cassel","","","","House Cassel","","Northmen","appears"
"Bethany-Redwyne","Bethany Redwyne","","Lady of Goldengrove","","House Redwyne;House Rowan","","","mentioned"
"Bharbo","Bharbo","","Khal","","","","Dothraki","mentioned"
"Borcas","Borcas","","","","Night's Watch","","","mentioned"
"Boros-Blount","Boros Blount","","Ser","Boros Blount;Boros the Belly","House Blount;Kingsguard","","","appears"
"Bowen-Marsh","Bowen Marsh","","Lord Steward;First Steward","Bowen Marsh;Old Pomegranate","Night's Watch","","","appears"
"Brandon-Stark","Brandon Stark","","","Brandon Stark;The Wild Wolf","House Stark","","Northmen","mentioned"
"Bran-Stark","Bran Stark","","Prince of Winterfell;","Bran Stark;Bran;Bran the Broken;The Winged Wolf","House Stark","","Northmen","POV"
"Bran-the-Builder","Bran the Builder","","King of Winter","Bran the Builder;Bran the Builder","House Stark","","First Men","mentioned"
"Brandon-Stark-(Burner)","Brandon Stark (Burner)","Brandon Stark","","Brandon Stark (Burner);Brandon the Burner;King in the North;Lord of Winterfell","House Stark","House Stark","Northmen","mentioned"
"Brandon-Stark-(Shipwright)","Brandon Stark (Shipwright)","Brandon Stark","","Brandon Stark (Shipwright);Brandon the Shipwright;King in the North;Lord of Winterfell","House Stark","House Stark","Northmen","mentioned"
"Bronn","Bronn","","Ser","Bronn;Ser Bronn of the Blackwater;Lord Stokeworth","House Stokeworth","","","appears"
"Bryce-Caron","Bryce Caron","","Lord of Nightsong;Lord of the Marches","Bryce Caron;Bryce the Orange","House Caron;Rainbow Guard (former)House Baratheon of Dragonstone","","","appears"
"Brynden-Tully","Brynden Tully","","Ser;Warden of the Southern Marches;Knight of the Gate (formerly)","Brynden Tully;Blackfish;Ser Brynden the Blackfish;Brynden Blackfish","House Tully;House Arryn (formerly)","","Rivermen","appears"
"Burton-Crakehall","Burton Crakehall","","Ser","","House Crakehall","","","appears"
"Buu","Buu","","","","","","","mentioned"
"Byan-Votyris","Byan Votyris","","","","","","Norvoshi","mentioned"
"Caleotte","Caleotte","","Maester","","House Martell","","","mentioned"
"Catelyn-Stark","Catelyn Stark","","Lady of Winterfell","Catelyn Stark;Catelyn Tully;Cat;Lady Stoneheart;The Silent Sister;Mother Merciless;The Hangwoman","House Tully;House Stark;Brotherhood without banners","","Rivermen","POV"
"Cayn","Cayn","","","","House Stark","","Northmen","appears"
"Cellador","Cellador","","Septon","Cellador;Celladar;","Night's Watch","","","appears"
"Cersei-Lannister","Cersei Lannister","","Light of the West;Queen Dowager;Protector of the Realm;Lady of Casterly Rock;Queen Regent","","House Lannister","","Westerlands","appears"
"Chataya","Chataya","","","","Chataya's brothel","","Summer Isles","mentioned"
"Chayle","Chayle","","Septon","","","","","appears"
"Chella","Chella","","","","Black Ears","","Vale mountain clans","appears"
"Chett","Chett","","","","Night's Watch","","","appears"
"Cheyk","Cheyk","","","","Black Ears","","","mentioned"
"Chiggen","Chiggen","","","","","","","appears"
"Clement-Piper","Clement Piper","","Lord of Pinkmaiden","","House Piper","","Rivermen","mentioned"
"Clydas","Clydas","","","","Night's Watch","","","appears"
"Cohollo","Cohollo","","Ko;Bloodrider of Khal Drogo","","Khal Drogo","","Dothraki","appears"
"Colemon","Colemon","","Maester","","House Arryn","","","appears"
"Conn","Conn","","","","Stone Crows","","Vale mountain clans","appears"
"Coratt","Coratt","","","","Stone Crows","","Vale mountain clans","mentioned"
"Cotter-Pyke","Cotter Pyke","","Commander of Eastwatch-by-the-Sea","","Night's Watch","","Ironborn","mentioned"
"Cregan-Stark","Cregan Stark","","Lord of Winterfell;Warden of the North;Hand of the King","Cregan Stark;The Old Man of the North","House Stark;Blacks","","Northmen","mentioned"
"Cuger","Cuger","","","","Night's Watch","","","appears"
"Dacey-Mormont","Dacey Mormont","","","","House Mormont","","Northmen","appears"
"Dacks","Dacks","","","","House Redfort","","","mentioned"
"Daenerys-Targaryen","Daenerys Targaryen","Daenerys Targaryen the First of Her Name","","Daenerys Targaryen;Dany;Daenerys Stormborn;The Unburnt;Mother of Dragons;Mhysa (mother)The Silver Queen;Silver Lady;Dragonmother;The Dragon Queen;;Khaleesi of the Great Grass Sea;Queen of Meereen;Queen of the Andals and the Rhoynar and the First Men; Lord of the Seven Kingdoms (claimant)Breaker of Shackles/Chains;Queen of the Seven Kingdoms;(claimant)Princess of Dragonstone (claimant)","House Targaryen","House Targaryen","Valyrian","POV"
"Daeron-I-Targaryen","Daeron I Targaryen","Daeron Targaryen the First of His Name","","Daeron I Targaryen;The Young Dragon;The Boy King;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Daeron-II-Targaryen","Daeron II Targaryen","Daeron Targaryen the Second of His Name","","Daeron II Targaryen;Daeron the Good;Daeron the Falseborn;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm (renounced)","House Targaryen","House Targaryen","","mentioned"
"Daeryssa","Daeryssa","","Princess","","","","","mentioned"
"Danwell-Frey","Danwell Frey","","Ser","","House Frey","","","appears"
"Dareon","Dareon","","","Dareon;The Black Singer Lover ;","Night's Watch","","","appears"
"Daryn-Hornwood","Daryn Hornwood","","","","House Hornwood","","Northmen","appears"
"Denys-Mallister","Denys Mallister","","Ser","","House Mallister;Night's Watch","","","mentioned"
"Desmond","Desmond","","","","House Stark","","","appears"
"Desmond-Grell","Desmond Grell","","Ser","","House Grell;Night's Watch","","","mentioned"
"Dickon-Tarly","Dickon Tarly","","","","House Tarly","","","mentioned"
"Dolf","Dolf","","","","Stone Crows","","Vale mountain clans","mentioned"
"Donal-Noye","Donal Noye","","","","House Baratheon;Night's Watch","","","appears"
"Donnel-Waynwood","Donnel Waynwood","","Ser;Knight of the Gate","","House Waynwood","","","appears"
"Donnis","Donnis","","","","House Stark","","Northmen","mentioned"
"Dontos-Hollard","Dontos Hollard","","Ser","Dontos Hollard;Dontos the Red;Dontos the Drunk;Florian","House Hollard","","","appears"
"Doran-Martell","Doran Martell","","Prince of Dorne;Lord of Sunspear","","House Nymeros Martell","","Dornish","mentioned"
"Doreah","Doreah","","","","House Targaryen","","Lysene","appears"
"Drogo","Drogo","","Khal","Drogo;Great Rider;Great Khal","","","Dothraki","appears"
"Dywen","Dywen","","","","Night's Watch","","","appears"
"Eddard-Karstark","Eddard Karstark","","","Eddard Karstark;Edd","House Karstark","","Northmen","appears"
"Eddard-Stark","Eddard Stark","","Lord of Winterfell;Warden of the North;Hand of the King;Protector of the Realm;Regent","Eddard Stark;Ned;The Ned;The Quiet Wolf","House Stark","","Northmen","POV"
"Edmure-Tully","Edmure Tully","","Ser;Lord Paramount of the Trident (lost to Petyr Baelish)Lord of Riverrun (lost to Emmon Frey)","","House Tully","","Rivermen","appears"
"Edmyn-Tully","Edmyn Tully","","Lord of Riverrun;Lord Paramount of the Trident;Hand of the King","","House Tully","","Rivermen","mentioned"
"Edric-Dayne","Edric Dayne","","Lord of Starfall","Edric Dayne;Ned","House Dayne;Brotherhood without banners","","Dornishmen","mentioned"
"Edric-Storm","Edric Storm","","","","House Baratheon","","","mentioned"
"Elia-Martell","Elia Martell","","Princess","Elia Martell;Elia of Dorne","House Martell;House Targaryen","","","mentioned"
"Elmar-Frey","Elmar Frey","","","","House Frey","","","appears"
"Emmon-Frey","Emmon Frey","","Lord of Riverrun","Emmon Frey;Emm","House Frey of Riverrun;House Lannister","","","appears"
"Endrew-Tarth","Endrew Tarth","","Ser","","House Tarth;Night's Watch","","","appears"
"Eon-Hunter","Eon Hunter","","Lord of Longbow Hall","Eon Hunter;Old Lord Hunter","House Hunter","","","appears"
"Eroeh","Eroeh","","","","","","Lhazareen","appears"
"Erryk-Cargyll","Erryk Cargyll","","Ser","","House Cargyll;Kingsguard;Queensguard;Blacks","","","mentioned"
"Ethan-Glover","Ethan Glover","","","","House Glover","","Northmen","mentioned"
"Euron-Greyjoy","Euron Greyjoy","Euron Greyjoy; the Third of His Name Since the Grey King","","Euron Greyjoy;Crow's Eye;Euron Crow's Eye;Iron King;King of the Isles and the North  King of Salt and Rock;Son of the Sea Wind;Lord Reaper of Pyke;Captain of the Silence","House Greyjoy","House Greyjoy","Ironborn","mentioned"
"Farlen","Farlen","","","","House Stark","","","mentioned"
"Flement-Brax","Flement Brax","","Ser","","House Brax","","","appears"
"Fogo","Fogo","","Khalakka","","","","Dothraki","appears"
"Forley-Prester","Forley Prester","","Ser","","House Prester","","","mentioned"
"Gage","Gage","","","","House Stark","","","mentioned"
"Galbart-Glover","Galbart Glover","","Master of Deepwood Motte","","House Glover","","Northmen","appears"
"Gared","Gared","","","","Night's Watch; (formerly);","","","appears"
"Garlan-Tyrell","Garlan Tyrell","","Ser;Lord of Brightwater Keep","Garlan Tyrell;Garlan the Gallant;Renly's ghost;Lord Renly's shade","House Tyrell of Brightwater Keep","","","mentioned"
"Garrett-Flowers","Garrett Flowers","","","","House Tyrell","","","mentioned"
"Garse-Flowers","Garse Flowers","","","","House Tyrell","","","mentioned"
"Garth-Greenfield","Garth Greenfield","","The Knight of Greenfield;Ser","","House Greenfield","","Westerman","mentioned"
"Garth-Tyrell","Garth Tyrell","","Lord Seneschal","Garth Tyrell;Garth the Gross","House Tyrell","","","mentioned"
"Gawen-Westerling","Gawen Westerling","","Lord of the Crag","","House Westerling","","Westermen","mentioned"
"Gendry","Gendry","","Ser","Gendry;The Bull;Ser Gendry of the hollow hill","brotherhood without banners","","","appears"
"Gerold-Hightower","Gerold Hightower","","Ser;Lord Commander of the Kingsguard","Gerold Hightower;The White Bull","House Hightower;Kingsguard","","Reachmen","mentioned"
