Franklyn Encounters:
Jon (Griff), Franklyn (Franklyn Flowers), 727909, "worse than that, you bugger,� said Franklyn Flowers. �They knighted me as well.� He clasped Griff"
Franklyn (Franklyn), Jon (Young Griff), 728265, "turned to Young Griff. �And this would be ��  �My squire. Lad, this is Franklyn"
Franklyn (Ser Franklyn), Jon (Griff), 732796, "from his brothers-in-arms. Griff might have felt the same way in their place.  Ser Franklyn"
Franklyn (Ser Franklyn), Balaq (Black Balaq), 1882467, "tower, only to be feathered by Black Balaq himself. �No more messages,� he told Ser Franklyn"
Franklyn (Ser Franklyn), Jon (Jon Connington), 1882833, "Griffin�s Roost was his again, and Jon Connington was once more a lord.  �Ser Franklyn"
Haldon (Haldon), Franklyn (Franklyn Flowers), 1883510, "m�lord,� promised Franklyn Flowers.  Connington watched them dash off, then beckoned to the Halfmaester. �Haldon"
Franklyn (Franklyn), Balaq (Black Balaq), 1893476, "presided from the Griffin�s Seat, sharing the high table with Homeless Harry Strickland, Black Balaq, Franklyn"
Franklyn (Franklyn), Harry (Harry Strickland), 1893476, "presided from the Griffin�s Seat, sharing the high table with Homeless Harry Strickland, Black Balaq, Franklyn"
Franklyn (Ser Franklyn), Balaq (Black Balaq), 1902071, "Nine of them assembled in the solar: Connington and Strickland, Haldon Halfmaester, Black Balaq, Ser Franklyn"
Franklyn (Ser Franklyn), Haldon (Haldon Halfmaester), 1902071, "Nine of them assembled in the solar: Connington and Strickland, Haldon Halfmaester, Black Balaq, Ser Franklyn"
Brendel (Brendel), Franklyn (Franklyn Flowers), 1902103, "the solar: Connington and Strickland, Haldon Halfmaester, Black Balaq, Ser Franklyn Flowers, Malo Jayn, Ser Brendel"
Dick (Dick), Franklyn (Franklyn Flowers), 1902115, "Connington and Strickland, Haldon Halfmaester, Black Balaq, Ser Franklyn Flowers, Malo Jayn, Ser Brendel Byrne, Dick"
