Addam-Marbrand,Ser-Addam-Marbrand,Addam-Marbrand,Ser-Addam,Addam,,,,,,,
Addison-Hill,Addison-Hill,Ser-Addison-Hill,,,,,,,,,
Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,,
Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,
Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,King-Aegon-the-Third,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,,king-Unworthy,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Prince-Aegon,,,,,,,,,,
Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,Egg,,,,,,,
Aemon-Steelsong,Aemon-Steelsong,Aemon-Battleborn,,,,,,,,,
Aemon-Targaryen-(Dragonknight),Prince-Aemon-the-Dragonknight,Aemon-the-Dragonknight,Dragonknight,Prince-Aemon,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,
Aenar-Targaryen,Aenar-Targaryen,Aenar-the-Exile,,,,,,,,,
Aenys-Frey,Aenys-Frey,,,,,,,,,,
Aeron-Greyjoy,Aeron-Damphair,Aeron-Greyjoy,Damphair-King,Aeron-King,Damphair,Aeron,,,,,
Aerys-II-Targaryen,Aerys-Targaryen,Mad-King-Aerys,King-Aerys,Mad-King,Aerys,king-Aerys,,,,,
Aglantine,Aglantine,Septa-Aglantine,,,,,,,,,
Alannys-Harlaw,Alannys-Harlaw,Lady-Alannys,Alannys,,,,,,,,
Alaric-of-Eysen,Alaric,Alaric-of-Eysen,,,,,,,,,
Albar-Royce,Ser-Albar-Royce,Albar-Royce,Ser-Albar,Albar,,,,,,,
Alerie-Hightower,Lady-Alerie,Alerie,Lady-Tyrell,,,,,,,,
Alester-Oakheart,Alester-Oakheart,Alester,,,,,,,,,
Alla-Tyrell,Alla-Tyrell,Alla,,,,,,,,,
Allaquo,Allaquo,,,,,,,,,,
Alleras,Alleras-the-Sphinx,Alleras,Sphinx,,,,,,,,
Alliser-Thorne,Alliser-Thorne,Ser-Alliser-Thorne,Ser-Alliser,,,,,,,,
Alvyn-Sharp,Alvyn-Sharp,,,,,,,,,,
Alyn-Ambrose,Alyn-Ambrose,,,,,,,,,,
Alyn-Connington,Alyn-Connington,,,,,,,,,,
Alyn-Hunt,Alyn-Hunt,Ser-Alyn-Hunt,,,,,,,,,
Alyn-Stackspear,Alyn-Stackspear,,,,,,,,,,
Alyn-Velaryon,Alyn-Velaryon,Lord-Oakenfist,Lord-Velaryon,,,,,,,,
Alys-Arryn,Alys-Waynwood,Alys-Arryn,Alys,,,,,,,,
Alysanne-Bulwer,Alysanne-Bulwer,Lady-Bulwer,,,,,,,,,
Alysanne-of-Tarth,Alysanne-Tarth,,,,,,,,,,
Alysanne-Targaryen,Queen-Alysanne,Alysanne-Targaryen,,,,,,,,,
Alyse-Ladybright,Alyse-Ladybright,Lady-Alyse-Ladybright,,,,,,,,,
Amerei-Frey,Lady-Amerei,Amerei,Gatehouse-Ami,,,,,,,,
Amory-Lorch,Ser-Amory-Lorch,Amory-Lorch,Amory,,,,,,,,
Anders-Yronwood,Lord-of-Yronwood,Anders-Yronwood,Lord-Yronwood,Lord-Anders,Anders,,,,,,
Andrey-Dalt,Ser-Andrey-Dalt,Andrey-Dalt,Ser-Andrey,Andrey,Drey,,,,,,
Andrik,Andrik,Andrik-the-Unsmiling,,,,,,,,,
Anguy,Anguy,,,,,,,,,,
Anya-Waynwood,Lady-of-Ironoaks,Lady-Waynwood,Anya-Waynwood,Lady-Anya,Anya,,,,,,
Areo-Hotah,Areo-Hotah,Hotah,Areo,,,,,,,,
Arianne-Martell,Princess-Arianne-Martell,Princess-Arianne,Arianne-Martell,Arianne,princess-Arianne,,,,,,
Arianne-of-Tarth,Arianne-Tarth,,,,,,,,,,
Armen,Armen-the-Acolyte,Armen,,,,,,,,,
Aron-Santagar,Aron-Santagar,Ser-Aron-Santagar,,,,,,,,,
Arryk-(guard),Arryk,Left,,,,,,,,,
Arthur-Dayne,Sword-of-the-Morning,Ser-Arthur-Dayne,Arthur-Dayne,Ser-Arthur,Arthur,,,,,,
Artys-Arryn,Artys-Arryn,Ser-Artys-Arryn,the-Winged-Knight,,,,,,,,
Arwood-Frey,Arwood-Frey,Ser-Arwood-Frey,Ser-Arwood,,,,,,,,
Arya-Stark,Arya-of-Winterfell,Cat-of-the-Canals,Arya-Underfoot,Arya-Horseface,Arya-Stark,Salty,Squab,Arya,Arry,Cat,Weasel
Arys-Oakheart,Ser-Arys-of-the-Kingsguard,Ser-Arys-the-Unworthy,Ser-Arys-Oakheart,Arys-Oakheart,Ser-Arys,Arys,,,,,
Asha-Greyjoy,Princess-Asha,Asha-Greyjoy,Asha,,,,,,,,
Assadora,Assadora-of-Ibben,Assadora,,,,,,,,,
Aurane-Waters,Aurane-Waters,Lord-Aurane,Lord-Waters,Aurane,,,,,,,
Baelor-Blacktyde,Lord-Baelor-Blacktyde,Baelor-Blacktyde,Lord-Blacktyde,Lord-Baelor,,,,,,,
Baelor-Hightower,Baelor-Hightower,Baelor-Brightsmile,,,,,,,,,
Baelor-I-Targaryen,King-Baelor-the-Blessed,Baelor-the-Blessed,Baelor-the-Beloved,Blessed-Baelor,Beloved-Baelor,King-Baelor,Baelor,,,,
Ballabar,Ballabar,Maester-Ballabar,,,,,,,,,
Balman-Byrch,Ser-Balman-Byrch,Balman-Byrch,Ser-Balman,Balman,,,,,,,
Balon-Botley,Balon-Botley,,,,,,,,,,
Balon-Greyjoy,Balon-the-Widowmaker,Balon-Twice-Crowned,Balon-the-Blessed,Balon-the-Brave,Balon-the-Bold,Balon-Greyjoy,King-Balon,Lord-Balon,Balon,king-Balon,
Balon-Swann,Ser-Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Barristan-the-Bold,Barristan-Selmy,Ser-Barristan,Barristan,,,,,,
Barth,Barth,Septon-Barth,,,,,,,,,
Bayard-Norcross,Bayard-Norcross,Ser-Bayard-Norcross,Ser-Bayard,,,,,,,,
Belandra,Belandra,,,,,,,,,,
Bellegere-Otherys,Bellegere-Otherys,Black-Pearl,,,,,,,,,
Bellonara-Otherys,Bellonara-Otherys,,,,,,,,,,
Ben,Ben,Ben-Big-Mouth,,,,,,,,,
Ben-Beesbury,Blind-Ben-Beesbury,Ben-Beesbury,,,,,,,,,
Ben-Blackthumb,Ben-Blackthumb,,,,,,,,,,
Ben-Bushy,Big-Ben-Bushy,Ser-Ben-Bushy,Ben-Bushy,,,,,,,,
Benedar-Belmore,Benedar-Belmore,Lord-Belmore,Belmore,,,,,,,,
Benedict,Benedict,Archmaester-Benedict,,,,,,,,,
