Addam-Marbrand,Set-Addam-Marbrand,Ser-Addam,Addam-Marbrand,Addam,,,,,,,,,,
Aegon-I,Aegon-I-Targaryen,Aegon-I,Aegon the Conqueror,Aegon the Dragon,Aegon the Dragonlord,Aegon Dragonlord,,,,,,,,
Aegon-II,Aegon-II-Targaryen,Aegon-II,Aegon the Usurper,,,,,,,,,,,
Aegon-III,Aegon-III-Targaryen,Aegon-III,Aegon the Dragonbane,,,,,,,,,,,
Aegon-IV,Aegon-IV-Targaryen,Aegon-IV,Aegon the Unworthy,,,,,,,,,,,
Aegon-V,Aegon-V-Targaryen,Aegon-V,Aegon the Unlikely,Aegon the Fortunate,,,,,,,,,,
Aegon-son-of-Rhaegar,Aegon-son-of-Rhaegar,Prince Aegon,,,,,,,,,,,,
Aemon-Targaryen,Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,,,
Aenys-Frey,Ser-Aenys-Frey,Aenys-Frey,Ser-Aenys,Aenys,Aenyth Frey,,,,,,,,,
Aerion-Brightflame,Aerion-the-Monstrous,Aerion-Brightflame,Prince-Aerion,Aerion,,,,,,,,,,
Aeron-Greyjoy,Aeron-Greyjoy,Aeron-Damphair,Aeron,Damphair,,,,,,,,,,
Aerys-Targaryen,Mad-King-Aerys,Mad-King,King-Aerys,Aerys-Targaryen,Aerys,kingAerys,,,,,,,,
Aerys-the-First,Aerys-the-First,AerystheFirst,,,,,,,,,,,,
Aggo,Aggo,,,,,,,,,,,,,
Alayaya,Alayaya,,,,,,,,,,,,,
Alebelly,Alebelly,,,,,,,,,,,,,
Alester-Florent,Lord-Alester-Florent,Alester-Florent,Lord-Florent,Lord-Alester,Alester,Lord-of-Brightwater,,,,,,,,
Allard,Allard,,,,,,,,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,Thorne,,,,,,,,,
Alyn-Stackspear,Alyn-Stackspear,Stackspear,Alyn,,,,,,,,,,,
Alysanne,Queen-Alysanne,Alysanne,,,,,,,,,,,,
Amabel,Goodwife-Amabel,Amabel,,,,,,,,,,,,
Amory-Lorch,Ser-Amory-Lorch,Ser-Amory,Amory-Lorch,Amory,Lorch,,,,,,,,,
Arneld,Ser-Arneld,Arneld,,,,,,,,,,,,
Arnell,Ser-Arnell,Arnell,,,,,,,,,,,,
Ardrian-Celtigar,Ardrian-Celtigar,Lord Celtigar,Lord-Celtigar,Celtigar,Lord-Celtigar-Red-Crab,Red-Crab,,,,,,,,
Aron-Santagar,Ser-Aron-Santagar,Ser-Aron,Aron-Santagar,Aron,Santagar,,,,,,,,,
Arry,Arry,,,,,,,,,,,,,
Arryk,Ser-Arryk,Arryk,,,,,,,,,,,,
Arstan,Arstan-Whitebeard,Arstan,Whitebeard,,,,,,,,,,,
Arthur-Dayne,Ser-Arthur-Dayne,Arthur-Dayne,Arthur,Sword-of-the-Morning,,,,,,,,,,
Arya-Stark,Lumpyhead-Lumpyface-Stickboy,Lumpyface-Lumpyhead-Rabbitkiller,Lumpyhead-Rabbitkiller,Arya-Underfoot,Lumpyface-Stickboy,Lumpyface,Lumpyhead,Rabbitkiller,Stickboy,Arya-Stark,Underfoot,Arya-Stark-the-Hand,Arya,Arry
Arys-Oakheart,Ser-Arys-Oakheart,Ser-Arys,Arys-Oakheart,Arys,,,,,,,,,,
Ashara-Dayne,Ashara-Dayne,,,,,,,,,,,,,
Axell-Florent,Ser-Axell-Florent,Axell-Florent,Ser-Axell,Axell,,,,,,,,,,
Bael,Bael-the-Bard,King-beyond-the-Wall-Bael,Bael,,,,,,,,,,,
Ballabar,Maester-Ballabar,Ballabar,,,,,,,,,,,,
Balon-Greyjoy,King-Balon,Lord-of-the-Iron-Islands,Balon-Greyjoy,Lord-Reaper,Lord-Balon,Lord-Greyjoy,King-of-the-Iron-Islands,Balon,,,,,,
Balon-Swann,Ser-Balon-Swann,Balon-Swann,Ser-Balon,,,,,,,,,,,
Bar-Emmon,Lord-Bar-Emmon,Bar-Emmon,,,,,,,,,,,,
Barristan-Selmy,Ser-Barristan-Selmy,Ser-Barristan,Barristan-Selmy,Barristan-the-Bold,Barristan,Lord-Commander-of-the-Kingsguard,Selmy,,,,,,,
Barth,Lord-Barth,Barth,,,,,,,,,,,,
Belwas,Strong-Belwas,Belwas,eunuchBelwas,,,,,,,,,,,
Benfred-Tallhart,Benfred-Tallhart,Benfred,Benfred Tallheart,,,,,,,,,,,
Benjen-Stark,Benjen-Stark,Benjen,Ben-Stark,,,,,,,,,,,
BenjentheBitter,Benjen-the-Bitter,BenjentheBitter,,,,,,,,,,,,
BenjentheSweet,Benjen-the-Sweet,BenjentheSweet,,,,,,,,,,,,
Beric-Dondarrion,Lord-Beric-Dondarrion,Lord-Beric,Beric-Dondarrion,Beric,Dondarrion,,,,,,,,,
Beron,Lord-Beron,Beron,,,,,,,,,,,,
Beth-Cassel,Beth-Cassel,Beth,,,,,,,,,,,,
Bonifer,Bonifer-the-Good,Bonifer,,,,,,,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-Blount,Ser-Boros,Boros,Blount,,,,,,,,,
Bran-Stark,Bran,Prince-Bran,Bran-Stark,,,,,,,,,,,
Brandon-Stark,Lord-Brandon-Stark,BrandonStark,Brandon-Stark,Lord-Brandon,,,,,,,,,,
BrandontheBad,Brandon-the-Bad,BrandontheBad,,,,,,,,,,,,
BrandontheBurner,Brandon-the-Burner,BrandontheBurner,,,,,,,,,,,,
BrandontheDaughterless,Brandon-the-Daughterless,BrandontheDaughterless,,,,,,,,,,,,
BrandontheShipwright,Brandon-the-Shipwright,BrandontheShipwright,,,,,,,,,,,,
BrantheBuilder,Brandon-the-Builder,BrandontheBuilder,BrantheBuilder,,,,,,,,,,,
Brienne,Brienne-the-Blue,Brienne-the-Beauty,Lady-Brienne,Brienne,Brienne-of-Tarth,Lady-Brienne-of-Tarth,,,,,,,,
Bronn,Bronn,,,,,,,,,,,,,
