Addam-Marbrand,Ser-Addam,Addam-Marbrand,Addam,,,,,,,
Aegon-I,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,
Aegon-II,Aegon-II,Aegon-the-Usurper,,,,,,,,
Aegon-III,Aegon-III,Aegon-the-Dragonbane,,,,,,,,
Aegon-IV,Aegon-IV,Aegon-the-Unworthy,,,,,,,,
Aegon-V,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,,,,,,,
Aegon-son-of-Rhaegar,Aegon-son-of-Rhaegar,,,,,,,,,
Aemon-Targaryen,Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,
Aerys-Targaryen,Mad-King-Aerys,Mad-King,Mad-King-Aerys-Targaryen,King-Aerys,Aerys-Targaryen,Aerys,,,,
Aggo,Aggo,,,,,,,,,
Albar-Royce,Ser-Albar-Royce,Ser-Albar,Albar-Royce,Albar,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,,,,,,
Alyn,Alyn,,,,,,,,,
Alyssa-Arryn,Alyssa-Arryn,Alyssa,,,,,,,,
Amory-Lorch,Amory-Lorch,Lorch,Amory,,,,,,,
Andar-Royce,Andar-Royce,Andar,,,,,,,,
Aron-Santagar,Ser-Aron-Santagar,Ser-Aron,Aron-Santagar,Aron,,,,,,
Arryk,Ser-Arryk,Arryk,,,,,,,,
Arthur-Dayne,Ser-Arthur-Dayne,Ser-Arthur,Arthur-Dayne,Sword-of-the-Morning,Arthur,,,,,
Arya-Stark,Arya-Underfoot,Arya-Horseface,Arya-Stark,Horseface,Underfoot,Arya,,,,
Arys-Oakheart,Ser-Arys-Oakheart,Ser-Arys,Arys-Oakheart,Arys,,,,,,
Ashara-Dayne,Lady-Ashara-Dayne,Ashara-Dayne,Lady-Ashara,Ashara,,,,,,
Balon-Greyjoy,Balon-Greyjoy,,,,,,,,,
Balon-Swann,Balon-Swann,,,,,,,,,
Banefort,Lord-Banefort,Banefort,,,,,,,,
Barristan-Selmy,Set-Barristan-Selmy,Barristan-the-Old,Ser-Barristan,Barristan-Selmy,Barristan-the-Bold,Barristan,Lord-Commander-of-the-Kingsguard,,,
Benjen-Stark,Benjen-Stark,Benjen,Ben-Stark,First-Ranger,Ben,,,,,
Beric-Dondarrion,Lord-Beric-Dondarrion,Beric-Dondarrion,Lord-Beric,Beric,,,,,,
Boros-Blount,Boros-Blount,Ser-Boros,Boros,,,,,,,
Bowen-Marsh,Lord-Steward,Bowen-Marsh,Bowen,,,,,,,
Bran-Stark,Bran-the-Broken,Bran-Stark,Bran,,,,,,,
Brandon-Stark,Brandon-Stark,Brandon,,,,,,,,
Bronn,Bronn,,,,,,,,,
Bryce-Caron,Bryce-Caron,Marcher-Lord-Bryce-Caron,Lord-Bryce-Caron,Bryce-Caron,Bryce,Caron,,,,
Brynden-Tully,Ser-Brynden-Tully,Brynden-Blackfish,Blackfish,Ser-Brynden,Brynden-the-Blackfish,Brynden-Tully,Brynden,,,
Catelyn-Stark,Lady-Catelyn-Stark,Lady-Catelyn,Lady-Stark,Catelyn-Stark,Catelyn,Catelyn-Tully-Stark,Catelyn-Tully,Cat,,
Cayn,Cayn,,,,,,,,,
Celladar,Celladar,Septon-Celladar,,,,,,,,
Cersei-Lannister,Cersei-Lannister,Queen-Cersei,Cersei,the-queen,The-queen,,,,,
Chayle,Septon-Chayle,Chayle,,,,,,,,
Chett,Chett,,,,,,,,,
Chiggen,Chiggen,,,,,,,,,
Cohollo,Cohollo,,,,,,,,,
Colemon,Colemon,Maester-Colemon,,,,,,,,
Conn,Conn,,,,,,,,,
Cotter-Pyke,Pyke,Cotter,Cotter-Pyke,,,,,,,
Crakehall,Lord-Crakehall,Crakehall,,,,,,,,
Cregan-Stark,Cregan,Cregan-Stark,,,,,,,,
Dacey-Mormont,Dacey,Dacey-Mormont,,,,,,,,
Daenerys-Targaryen,Daenerys-Stormborn,Stormborn,Daenerys-Targaryen,Princess-Daenerys,Dany,Khaleesi,Princess-of-Dragonstone,Daenerys,,
Daeryssa,Princess-Daeryssa,Daeryssa,,,,,,,,
Danwell-Frey,Ser-Danwell-Frey,Danwell-Frey,Ser-Danwell,Danwell,,,,,,
Dareon,Dareon,,,,,,,,,
Daryn-Hornwood,Daryn-Hornwood,Daryn,,,,,,,,
Denys,Ser-Denys,Denys,,,,,,,,
Derik,Lord-Derik,Derik,,,,,,,,
Desmond,Desmond,,,,,,,,,
Donal-Noye,Donal-Noye,Noye,Donal,,,,,,,
Donnel-Waynwood,Set-Donnel-Waynwood,Donnel-Waynwood,Ser-Donnel,Donnel,,,,,,
Dontos,Ser-Dontos,Dontos,,,,,,,,
Doreah,Doreah,,,,,,,,,
Dragonknight,Prince-Aemon,PrinceAemon,Dragonknight,,,,,,,
Drogo,Great-Rider,Khal-Drogo,Drogo,the-khal,The-khal,,,,,
Dustin,Lord-Dustin,Dustin,,,,,,,,
Eddard-Karstark,Eddard-Karstark,EddardKarstark,,,,,,,,
Eddard-Stark,Lord-Eddard-Stark,Eddard,Ned-Stark,Lord-Eddard,Eddard-Stark,Ned,HandoftheKing,KingsHand,Hand,
Edmure-Tully,Set-Edmure-Tully,Edmure-Tully,Ser-Edmure,Edmure,,,,,,
Elia-Martell,Princess-Elia-Martell,Princess-Elia,Elia-Martell,Elia,,,,,,
