Addam-Marbrand,Ser-Addam,Addam-Marbrand,Addam,,,,,,,,,
Aegon-I-Targaryen,Aegon-I-Targaryen,Aegon-I,Aegon-the-Conqueror,Aegon-the-Dragon,Aegon-the-Dragonlord,Aegon-Dragonlord,,,,,,
Aegon-II-Targaryen,Aegon-II-Targaryen,Aegon-II,Aegon-the-Usurper,,,,,,,,,
Aegon-III-Targaryen,Aegon-III-Targaryen,Aegon-III,Aegon-the-Dragonbane,,,,,,,,,
Aegon-IV-Targaryen,Aegon-IV-Targaryen,Aegon-IV,Aegon-the-Unworthy,,,,,,,,,
Aegon-Targaryen-(son-of-Rhaegar),Aegon-son-of-Rhaegar,prince-Aegon,,,,,,,,,,
Aegon-V-Targaryen,Aegon-V-Targaryen,Aegon-V,Aegon-the-Unlikely,Aegon-the-Fortunate,,,,,,,,
Aemon-Targaryen-(Dragonknight),Prince-Aemon,PrinceAemon,Dragonknight,,,,,,,,,
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen,Maester-Aemon,Aemon,,,,,,,,,
Aerys-II-Targaryen,Mad-King-Aerys,Mad-King,Mad-King-Aerys-Targaryen,King-Aerys,Aerys-Targaryen,Aerys,,,,,,
Aethelmure,Aethelmure,Grand-Maester-Aethelmure,,,,,,,,,,
Aggo,Aggo,,,,,,,,,,,
Albar-Royce,Ser-Albar-Royce,Ser-Albar,Albar-Royce,Albar,,,,,,,,
Albett,Albett,,,,,,,,,,,
Alia,Alia,,,,,,,,,,,
Alliser-Thorne,Ser-Alliser-Thorne,Alliser-Thorne,Ser-Alliser,Alliser,,,,,,,,
Alyn,Alyn,,,,,,,,,,,
Alyssa-Arryn,Alyssa-Arryn,Alyssa,,,,,,,,,,
Amory-Lorch,Amory-Lorch,Lorch,Amory,,,,,,,,,
Andar-Royce,Andar-Royce,Andar,,,,,,,,,,
Andros-Brax,Andros-Brax,Lord-Brax,,,,,,,,,,
Anguy,Anguy,,,,,,,,,,,
Anya-Waynwood,Anya-Waynwood,Lady-Anya-Waynwood,Lady-Waynwood,,,,,,,,,
Aron-Santagar,Ser-Aron-Santagar,Ser-Aron,Aron-Santagar,Aron,,,,,,,,
Arryk-Cargyll,Ser-Arryk-Cargyll,Arryk-Cargyll,Ser-Cargyll,Ser-Arryk,,,,,,,,
Arthur-Dayne,Ser-Arthur-Dayne,Ser-Arthur,Arthur-Dayne,Sword-of-the-Morning,Arthur,Dayne,,,,,,
Arya-Stark,Arya-Underfoot,Arya-Horseface,Arya-Stark,Horseface,Underfoot,Arya,,,,,,
Arys-Oakheart,Ser-Arys-Oakheart,Ser-Arys,Arys-Oakheart,Arys,Oakheart,,,,,,,
Ashara-Dayne,Lady-Ashara-Dayne,Ashara-Dayne,Lady-Ashara,Ashara,,,,,,,,
Ayrmidon,Ayrmidon,,,,,,,,,,,
Baelor-I-Targaryen,Baelor-I-Targaryen,Baelor-the-Blessed,Baelor-the-Beloved,Blessed-Baelor,,,,,,,,
Balon-Greyjoy,Balon-Greyjoy,,,,,,,,,,,
