char 1, char2, index, text
Mance-Rayder (Mance), Harma (Harma), 6283, "Mance is fallen; the survivors told each other in despairing voices; Mance is taken; Mance is dead. "Harma"
Harma (Harma), Mance-Rayder (Mance), 6298, "the survivors told each other in despairing voices; Mance is taken; Mance is dead. "Harma dead and Mance"
Harma (Harma), Thistle (Thistle), 6350, "taken; Mance is dead. "Harma dead and Mance is captured; the rest run off and left us;" Thistle"
Mance-Rayder (Mance), Thistle (Thistle), 6350, "taken; Mance is dead. "Harma dead and Mance is captured; the rest run off and left us;" Thistle"
Thistle (Thistle), Tormund (Tormund), 6404, "the rest run off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund"
Thistle (Thistle), Weeper (Weeper), 6416, "run off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund; the Weeper"
Tormund (Tormund), Weeper (Weeper), 6416, "run off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund; the Weeper"
Thistle (Thistle), Varamyr (Sixskins), 6426, "off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund; the Weeper; Sixskins"
Tormund (Tormund), Varamyr (Sixskins), 6426, "off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund; the Weeper; Sixskins"
Weeper (Weeper), Varamyr (Sixskins), 6426, "off and left us;" Thistle had claimed; as she was sewing up his wound. "Tormund; the Weeper; Sixskins"
Varamyr (Varamyr-Sixskins), Mance-Rayder (Mance-Rayder), 6649, "his beasts he did not look like a great man. I was Varamyr-Sixskins; who broke bread with Mance-Rayder"
Mance-Rayder (Mance-Rayder), Varamyr (Varamyr), 6679, "look like a great man. I was Varamyr-Sixskins; who broke bread with Mance-Rayder. He had named himself Varamyr"
Mother-Mole (Mother-Mole), Varamyr (Varamyr), 7884, "the free folk south. "We must seek the sea;" cried Mother-Mole; and her followers turned east.  Varamyr"
Varamyr (Varamyr), Thistle (Thistle), 11715, "just needs wood. Gritting his teeth against the pain; Varamyr crept to the pile of broken branches Thistle"
Haggon (Haggon), Bump (Bump), 12764, "said. "I will be back with food." So like a fool hed waited; dreaming of Haggon and Bump"
