char 1, char2, index, text
Waymar-Royce (Ser-Waymar-Royce), Gared (Gared), 208, "dead."  "Do the dead frighten you?" Ser-Waymar-Royce asked with just the hint of a smile.  Gared"
Waymar-Royce (Royce), Will-(prologue) (Will-Prologue), 446, "no business with the dead."  "Are they dead?" Royce asked softly. "What proof have we?"  "Will-Prologue"
Waymar-Royce (Royce), Gared (Gared), 463, "the dead."  "Are they dead?" Royce asked softly. "What proof have we?"  "Will-Prologue saw them;" Gared"
Will-(prologue) (Will-Prologue), Gared (Gared), 463, "the dead."  "Are they dead?" Royce asked softly. "What proof have we?"  "Will-Prologue saw them;" Gared"
Gared (Gared), Will-(prologue) (Will-Prologue), 538, ""Will-Prologue saw them;" Gared said. "If he says they are dead; that proof enough for me."  Will-Prologue"
Will-(prologue) (Will-Prologue), Waymar-Royce (Royce), 768, "dead men sing no songs;" he put in.  "My wet nurse said the same thing; Will-Prologue;" Royce"
Gared (Gared), Waymar-Royce (Ser-Waymar-Royce), 1046, "a long ride before us;" Gared pointed out. "Eight days; maybe nine. And night is falling."  Ser-Waymar-Royce"
Gared (Gared), Will-(prologue) (Will-Prologue), 1177, "disinterest. "It does that every day about this time. Are you unmanned by the dark; Gared?"  Will-Prologue"
Will-(prologue) (Will-Prologue), Gared (Gared), 1214, "about this time. Are you unmanned by the dark; Gared?"  Will-Prologue could see the tightness around Gared"
Gared (Gared), Will-(prologue) (Will-Prologue), 2581, "something were watching him; something cold and implacable that loved him not. Gared had felt it too. Will-Prologue"
Will-(prologue) (Will-Prologue), Gared (Gared), 3001, "and slender as a knife. Mounted on his huge black destrier; the knight towered above Will-Prologue and Gared"
Will-(prologue) (Will-Prologue), Gared (Gared), 3755, "a man you laughed at in your cups; Will-Prologue reflected as he sat shivering atop his garron. Gared"
Gared (Gared), Jeor-Mormont (Mormont), 3790, "cups; Will-Prologue reflected as he sat shivering atop his garron. Gared must have felt the same.  "Mormont"
Will-(prologue) (Will-Prologue), Jeor-Mormont (Mormont), 3790, "cups; Will-Prologue reflected as he sat shivering atop his garron. Gared must have felt the same.  "Mormont"
Jeor-Mormont (Mormont), Gared (Gared), 3839, "Gared must have felt the same.  "Mormont said as we should track them; and we did;" Gared"
Waymar-Royce (Royce), Will-(prologue) (Will-Prologue), 5697, "the rock. Most of them on the ground. Fallen; like."  "Or sleeping;" Royce suggested.  "Fallen;" Will-Prologue"
Waymar-Royce (Royce), Will-(prologue) (Will-Prologue), 5972, "she wasnt moving neither." Despite himself; he shivered.  "You have a chill?" Royce asked.  "Some;" Will-Prologue"
Waymar-Royce (Royce), Gared (Gared), 6192, "whispered past them; and Royce destrier moved restlessly. "What do you think might have killed these men; Gared"
Gared (Gared), Waymar-Royce (Ser-Waymar), 6205, "past them; and Royce destrier moved restlessly. "What do you think might have killed these men; Gared?" Ser-Waymar"
Gared (Gared), Waymar-Royce (Ser-Waymar), 7122, "and then it like sinking into a sea of warm milk. Peaceful; like."  "Such eloquence; Gared;" Ser-Waymar"
Gared (Gared), Waymar-Royce (Ser-Waymar), 7258, "in you."  "Ive had the cold in me too; lordling." Gared pulled back his hood; giving Ser-Waymar"
Waymar-Royce (Ser-Waymar), Gared (Gared), 7520, "at his watch; with a smile on his face."  Ser-Waymar shrugged. "You ought dress more warmly; Gared"
Gared (Gared), Will-(prologue) (Will-Prologue), 7827, "hunched over his garron; silent and sullen.  "If Gared said it was the cold ; " Will-Prologue"
Will-(prologue) (Will-Prologue), Waymar-Royce (Royce), 9466, "rose. Will-Prologue was grateful for the light.  "We can make a better pace than this; surely;" Royce"
Waymar-Royce (Royce), Will-(prologue) (Will-Prologue), 9539, "pace than this; surely;" Royce said when the moon was full risen.  "Not with this horse;" Will-Prologue"
Waymar-Royce (Ser-Waymar-Royce), Will-(prologue) (Will-Prologue), 9719, " Ser-Waymar-Royce did not deign to reply.  Somewhere off in the wood a wolf howled.  Will-Prologue"
Gared (Gared), Will-(prologue) (Will-Prologue), 10271, "a disdainful smile. "Is there?"  "Cant you feel it?" Gared asked. "Listen to the darkness."  Will-Prologue"
