char 1, char2, index, text
Waymar-Royce (Ser-Waymar-Royce), Gared (Gared), 208, "dead."  "Do the dead frighten you?" Ser-Waymar-Royce asked with just the hint of a smile.  Gared"
Gared (Gared), Waymar-Royce (Ser-Waymar-Royce), 1019, "a long ride before us;" Gared pointed out. "Eight days; maybe nine. And night is falling."  Ser-Waymar-Royce"
Gared (Gared), Waymar-Royce (Ser-Waymar), 6034, "past them; and Royce destrier moved restlessly. "What do you think might have killed these men; Gared?" Ser-Waymar"
Gared (Gared), Waymar-Royce (Ser-Waymar), 6942, "and then it like sinking into a sea of warm milk. Peaceful; like."  "Such eloquence; Gared;" Ser-Waymar"
Gared (Gared), Waymar-Royce (Ser-Waymar), 7078, "in you."  "Ive had the cold in me too; lordling." Gared pulled back his hood; giving Ser-Waymar"
Waymar-Royce (Ser-Waymar), Gared (Gared), 7340, "at his watch; with a smile on his face."  Ser-Waymar shrugged. "You ought dress more warmly; Gared"
Gared (Gared), Waymar-Royce (Ser-Waymar), 11046, "a fire will keep away;" Gared said. "Bears and direwolves and � and other things �"  Ser-Waymar"
Waymar-Royce (Ser-Waymar), Gared (Gared), 11090, "direwolves and � and other things �"  Ser-Waymar mouth became a hard line. "No fire."  Gared"
Waymar-Royce (Ser-Waymar-Royce), Robert-Baratheon (Robert), 18640, "of ice on a winter lake; and the words were mocking.  Ser-Waymar-Royce found his fury. "For Robert"
Aemon-Targaryen (Maester-Aemon), Gared (Gared), 20193, "to make of it; and if not him; then surely that old bear Mormont or Maester-Aemon. Would Gared"
Aemon-Targaryen (Maester-Aemon), Waymar-Royce (Ser-Waymar-Royce), 20273, "or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will rose. Ser-Waymar-Royce"
Gared (Gared), Waymar-Royce (Ser-Waymar-Royce), 20273, "or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will rose. Ser-Waymar-Royce"
Bran-Stark (Bran), Robb-Stark (Robb), 21281, "seventh of Bran life.  The man had been taken outside a small holdfast in the hills. Robb"
Robb-Stark (Robb), Mance-Rayder (Mance-Rayder), 21340, "outside a small holdfast in the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder"
Mance-Rayder (Mance-Rayder), Bran-Stark (Bran), 21380, "the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder; the King-beyond-the-Wall. It made Bran"
Robb-Stark (Robb), Bran-Stark (Bran), 21380, "the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder; the King-beyond-the-Wall. It made Bran"
Bran-Stark (Bran), Nan (Old-Nan), 21448, "Mance-Rayder; the King-beyond-the-Wall. It made Bran skin prickle to think of it. He remembered the hearth tales Old-Nan"
Robb-Stark (Robb), Jon-Snow (Jon), 22211, "his lord father had the man cut down from the wall and dragged before them. Robb and Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 22257, "the wall and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
Robb-Stark (Robb), Bran-Stark (Bran), 22257, "the wall and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
Eddard-Stark (Lord-Eddard-Stark), Theon-Greyjoy (Theon-Greyjoy), 23374, "the square. They forced his head down onto the hard black wood. Lord-Eddard-Stark dismounted and his ward Theon-Greyjoy"
Bran-Stark (Bran), Jon-Snow (Jon-Snow), 24114, "do sentence you to die." He lifted the greatsword high above his head.  Bran bastard brother Jon-Snow"
Jon-Snow (Jon), Bran-Stark (Bran), 24869, "away.  "Ass;" Jon muttered; low enough so Greyjoy did not hear. He put a hand on Bran"
Bran-Stark (Bran), Jon-Snow (Jon), 24944, "put a hand on Bran shoulder; and Bran looked over at his bastard brother. "You did well;" Jon"
Robb-Stark (Robb), Jon-Snow (Jon), 25728, "they did not see. He was of an age with Robb; but they did not look alike. Jon"
Jon-Snow (Jon), Robb-Stark (Robb), 25751, "He was of an age with Robb; but they did not look alike. Jon was slender where Robb"
Jon-Snow (Jon), Robb-Stark (Robb), 26008, "swore. "He died well. Race you to the bridge?"  "Done;" Jon said; kicking his horse forward. Robb"
Robb-Stark (Robb), Jon-Snow (Jon), 26098, "horse forward. Robb cursed and followed; and they galloped off down the trail; Robb laughing and hooting; Jon"
Robb-Stark (Robb), Jon-Snow (Jon), 26749, "warhorse; his lord father loomed over him like a giant. "Robb says the man died bravely; but Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 26816, "died bravely; but Jon says he was afraid."  "What do you think?" his father asked.  Bran"
Bran-Stark (Bran), Robert-Baratheon (King-Robert), 27471, "man had to die; but why I must do it."  Bran had no answer for that. "King-Robert"
Bran-Stark (Bran), Robb-Stark (Robb), 27978, "that; then perhaps the man does not deserve to die.  "One day; Bran; you will be Robb"
Bran-Stark (Bran), Robb-Stark (Robb), 28388, "the hill before them. He waved and shouted down at them. "Father; Bran; come quickly; see what Robb"
Bran-Stark (Bran), Jory-Cassel (Jory), 28430, "at them. "Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Robb-Stark (Robb), Jory-Cassel (Jory), 28430, "at them. "Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Jory-Cassel (Jory), Bran-Stark (Bran), 28619, "what mischief my sons have rooted out now." He sent his horse into a trot. Jory and Bran"
Bran-Stark (Bran), Robb-Stark (Robb), 28661, "sent his horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Jory-Cassel (Jory), Robb-Stark (Robb), 28661, "sent his horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Robb-Stark (Robb), Jon-Snow (Jon), 28708, "and the rest came after.  They found Robb on the riverbank north of the bridge; with Jon"
Jon-Snow (Jon), Robb-Stark (Robb), 28791, "the bridge; with Jon still mounted beside him. The late summer snows had been heavy this moonturn. Robb"
Jory-Cassel (Jory-Cassel), Theon-Greyjoy (Theon-Greyjoy), 29100, "their way carefully through the drifts; groping for solid footing on the hidden; uneven ground. Jory-Cassel and Theon-Greyjoy"
