Addam-Marbrand,Addam Marbrand,A Game of Thrones,Ser Addam Marbrand,,
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon I Targaryen; The Conqueror/The Dragon,,The Conqueror/The Dragon
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon III Targaryen; Dragonbane/The Younger,,Dragonbane/The Younger
Aegon-Targaryen,Aegon Targaryen,A Game of Thrones,King Aegon V Targaryen; The Fortunate/The Unlikely,,The Fortunate/The Unlikely
Aemon,Aemon,A Game of Thrones,Maester Aemon (Targaryen),Targaryen,
Aemon-Targaryen,Aemon Targaryen,A Game of Thrones,Prince Aemon Targaryen; The Dragonknight,,The Dragonknight
Aerys-Targaryen,Aerys Targaryen,A Game of Thrones,King Aerys II Targaryen; The Mad King,,The Mad King
Aethelmure,Aethelmure,A Game of Thrones,Grand Maester Aethelmure,,
Albar-Royce,Albar Royce,A Game of Thrones,Ser Albar Royce,,
Albett,Albett,A Game of Thrones,Albett,,
Alia,Alia,A Game of Thrones,Alia; Of Braavos,,Of Braavos
Alliser-Thorne,Alliser Thorne,A Game of Thrones,Ser Alliser Thorne,,
Alyn,Alyn,A Game of Thrones,Alyn; Guard at Winterfell,,Guard at Winterfell
Alyssa-Arryn,Alyssa Arryn,A Game of Thrones,Alyssa Arryn,,
Amory-Lorch,Amory Lorch,A Game of Thrones,Ser Amory Lorch,,
Andar-Royce,Andar Royce,A Game of Thrones,Ser Andar Royce,,
Andros-Brax,Andros Brax,A Game of Thrones,Lord Andros Brax,,
Anguy,Anguy,A Game of Thrones,Anguy,,
Anya-Waynwood,Anya Waynwood,A Game of Thrones,Lady Anya Waynwood,,
Aron-Santagar,Aron Santagar,A Game of Thrones,Ser Aron Santagar,,
Arryk-Cargyll,Arryk Cargyll,A Game of Thrones,Ser Arryk Cargyll,,
Arthur-Dayne,Arthur Dayne,A Game of Thrones,Ser Arthur Dayne; Sword of the Morning,,Sword of the Morning
Arya-Stark,Arya Stark,A Game of Thrones,Arya Stark,,
Arys-Oakheart,Arys Oakheart,A Game of Thrones,Ser Arys Oakheart,,
Ashara-Dayne,Ashara Dayne,A Game of Thrones,Lady Ashara Dayne,,
Ayrmidon,Ayrmidon,A Game of Thrones,Ayrmidon,,
Baelor-Targaryen,Baelor Targaryen,A Game of Thrones,King Baelor I Targaryen; The Blessed,,The Blessed
Balon-Greyjoy,Balon Greyjoy,A Game of Thrones,Lord Balon Greyjoy,,
Balon-Swann,Balon Swann,A Game of Thrones,Ser Balon Swann,,
Barra,Barra,A Game of Thrones,Barra,,
Barristan-Selmy,Barristan Selmy,A Game of Thrones,Ser Barristan Selmy,,
Bass,Bass,A Game of Thrones,Bass,,
Benjen-Stark,Benjen Stark,A Game of Thrones,Benjen Stark,,
Beric-Dondarrion,Beric Dondarrion,A Game of Thrones,Lord Beric Dondarrion; The Lightning Lord,,The Lightning Lord
Bessa,Bessa,A Game of Thrones,Bessa,,
Beth-Cassel,Beth Cassel,A Game of Thrones,Beth Cassel,,
Bethany-Rowan,Bethany Rowan,A Game of Thrones,Bethany Rowan (Redwyne),Redwyne,
