A Game of Thrones (Appendix),Aegon-II-Targaryen,Aegon Targaryen,King Aegon II Targaryen; The Usurper,King,Aegon,Targaryen,,The Usurper
A Game of Thrones (Appendix),Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen,Prince Aegon Targaryen; Son of Rhaegar Targaryen,Prince,Aegon,Targaryen,,Son of Rhaegar Targaryen
A Game of Thrones (Appendix),Aenys-I-Targaryen,Aenys Targaryen,Aenys Targaryen,,Aenys,Targaryen,,
A Game of Thrones (Appendix),Aeron-Greyjoy,Aeron Greyjoy,Aeron Greyjoy; Damphair,,Aeron,Greyjoy,,Damphair
A Game of Thrones (Appendix),Aerys-I-Targaryen,Aerys Targaryen,King Aerys I Targaryen,King,Aerys,Targaryen,,
A Game of Thrones (Appendix),Alannys-Harlaw,Alannys Greyjoy,Lady Alannys Greyjoy (Harlaw);Alannys Harlaw,Lady,Alannys,Greyjoy,Harlaw,
A Game of Thrones (Appendix),Alerie-Hightower,Alerie Tyrell,Lady Alerie Tyrell (Hightower);Alerie Hightower,Lady,Alerie,Tyrell,Hightower,
A Game of Thrones (Appendix),Areo-Hotah,Areo Hotah,Captain Areo Hotah,Captain,Areo,Hotah,,
A Game of Thrones (Appendix),Argilac,Argilac Durrandon,King Argilac Durrandon; The Arrogant,King,Argilac,Durrandon,,The Arrogant
A Game of Thrones (Appendix),Arianne-Martell,Arianne Martell,Princess Arianne Martell,Princess,Arianne,Martell,,
A Game of Thrones (Appendix),Arrec-Durrandon,Arrec Durrandon,King Arrec Durrandon; The Storm King,King,Arrec,Durrandon,,The Storm King
A Game of Thrones (Appendix),Arwyn-Oakheart,Arwyn Oakheart,Lady Arwyn Oakheart,Lady,Arwyn,Oakheart,,
A Game of Thrones (Appendix),Asha-Greyjoy,Asha Greyjoy,Asha Greyjoy,,Asha,Greyjoy,,
A Game of Thrones (Appendix),Caleotte,Caleotte,Maester Caleotte,Maester,Caleotte,,,
A Game of Thrones (Appendix),Cerenna-Lannister,Cerenna Lannister,Cerenna Lannister,,Cerenna,Lannister,,
A Game of Thrones (Appendix),Cleos-Frey,Cleos Frey,Ser Cleos Frey,Ser,Cleos,Frey,,
A Game of Thrones (Appendix),Creylen,Creylen,Maester Creylen,Maester,Creylen,,,
A Game of Thrones (Appendix),Daeron-I-Targaryen,Daeron Targaryen,King Daeron I Targaryen; The Young Dragon/The Boy King,King,Daeron,Targaryen,,The Young Dragon/The Boy King
A Game of Thrones (Appendix),Daeron-II-Targaryen,Daeron Targaryen,King Daeron II Targaryen; The Good,King,Daeron,Targaryen,,The Good
A Game of Thrones (Appendix),Darlessa-Marbrand,Darlessa Marbrand,Darlessa Marbrand,,Darlessa,Marbrand,,
