Source,Target,Weight,Type
"Eddard S","Jon S",33.0,undirected
"Eddard S","Jon A",45.0,undirected
"Eddard S","Tyrion L",22.0,undirected
"Eddard S","Bran S",15.0,undirected
"Eddard S","Brandon S",11.0,undirected
"Eddard S","Daenerys T",4.0,undirected
"Eddard S","Catelyn S",54.0,undirected
"Eddard S","Arya S",30.0,undirected
"Eddard S","Robert B",233.0,undirected
"Eddard S","Sansa S",32.0,undirected
"Eddard S","Robb S",13.0,undirected
"Eddard S","Joffrey B",23.0,undirected
"Eddard S","Petyr B",69.0,undirected
"Eddard S","Jaime L",21.0,undirected
"Eddard S","Tywin L",17.0,undirected
"Eddard S","Luwin",13.0,undirected
"Eddard S","Lysa A",12.0,undirected
"Eddard S","Varys",53.0,undirected
"Eddard S","Rodrik C",7.0,undirected
"Eddard S","Cersei L",41.0,undirected
"Eddard S","Renly B",30.0,undirected
"Eddard S","Septa M",11.0,undirected
"Eddard S","Pycelle",33.0,undirected
"Eddard S","Sandor C",8.0,undirected
"Eddard S","Jory C",30.0,undirected
"Eddard S","Gregor C",10.0,undirected
"Eddard S","Stannis B",15.0,undirected
"Eddard S","Theon G",4.0,undirected
"Eddard S","Barristan S",22.0,undirected
"Eddard S","Rickon S",4.0,undirected
"Eddard S","Syrio F",6.0,undirected
"Eddard S","Loras T",12.0,undirected
"Eddard S","Rhaegar T",10.0,undirected
"Eddard S","Tom",15.0,undirected
"Eddard S","Aerys T",9.0,undirected
"Eddard S","Lyanna",18.0,undirected
"Eddard S","Janos S",4.0,undirected
"Eddard S","Ilyn P",5.0,undirected
"Eddard S","Alyn",11.0,undirected
"Eddard S","Rickard K",5.0,undirected
"Eddard S","Desmond",4.0,undirected
"Eddard S","Vayon P",9.0,undirected
"Eddard S","Raymun D",4.0,undirected
"Eddard S","Harwin",4.0,undirected
"Eddard S","Tobho M",7.0,undirected
"Eddard S","Cayn",7.0,undirected
"Eddard S","Torrhen K",5.0,undirected
"Jon S","Tyrion L",47.0,undirected
"Jon S","Bran S",54.0,undirected
"Jon S","Catelyn S",14.0,undirected
"Jon S","Arya S",35.0,undirected
"Jon S","Robert B",14.0,undirected
"Jon S","Sansa S",7.0,undirected
"Jon S","Robb S",49.0,undirected
"Jon S","Joffrey B",10.0,undirected
"Jon S","Luwin",6.0,undirected
"Jon S","Samwell T",78.0,undirected
"Jon S","Jory C",4.0,undirected
"Jon S","Benjen S",37.0,undirected
